序号,股票代码,股票简称,解禁时间,限售股类型,解禁数量,实际解禁数量,实际解禁市值,占解禁前流通市值比例,解禁前一交易日收盘价,解禁前20日涨跌幅,解禁后20日涨跌幅
2,002840,华统股份,2025/1/2,股权激励限售股份,405891,405891,4870692,0.000815464,12,-8.75542692,-10.38858049
1,300863,卡倍亿,2025/1/2,股权激励限售股份,210000,210000,9359700,0.001706056,44.57,2.49942674,-1.67785235
3,600679,上海凤凰,2025/1/2,定向增发机构配售股份,5507732,5507732,73252835.6,0.016025092,13.3,10.24349286,-4.72201066
4,300278,华昌达,2025/1/2,定向增发机构配售股份,27000000,27000000,155520000,0.019053464,5.76,-13.33333333,5.81196581
5,301291,明阳电气,2025/1/2,"首发原股东限售股份,追加承诺限售股份上市流通",46699590,46699590,2008082370,0.267204158,43,6.96541646,6.48907104
6,603176,汇通集团,2025/1/2,首发原股东限售股份,316666666,316666666,1415499997,0.678565543,4.47,-18.34862385,8.98876404
8,603326,我乐家居,2025/1/3,股权激励限售股份,135750,135750,775132.5,0.000425313,5.71,-8.99550225,5.27182867
11,600732,爱旭股份,2025/1/3,股权激励限售股份,1068526,1068526,10717315.78,0.000668477,10.03,-30.12442698,22.02436739
16,601600,中国铝业,2025/1/3,股权激励限售股份,10439440,10439440,76207912,0.000794869,7.3,-4.73480494,8.61111111
7,838171,邦德股份,2025/1/3,公开发行原股东限售股份,332305,131826,1949706.54,0.00253354,14.79,-27.42594484,9.21885996
17,601860,紫金银行,2025/1/3,首发原股东限售股份,10943260,10943260,29765667.2,0.003081248,2.72,-5.51724138,3.71046252
13,002388,ST新亚,2025/1/3,股权激励限售股份,2767620,2767620,9465260.4,0.005463897,3.42,-11.76470588,-5
12,002986,宇新股份,2025/1/3,股权激励限售股份,2162370,2162370,24132049.200000003,0.007154295,11.16,-5.22875817,2.24137931
9,837242,建邦科技,2025/1/3,股权激励期权行权,353750,342500,8538525,0.009353011,24.93,-19.5049505,22.38622386
10,603350,安乃达,2025/1/3,首发机构配售股份,584787,584787,18514356.419999998,0.020165069,31.66,-4.5117076,4.1367176
14,301395,仁信新材,2025/1/3,追加承诺限售股份上市流通,6510000,6510000,68094600,0.056589996,10.46,-13.36,7.57156048
15,836807,奔朗新材,2025/1/3,追加承诺限售股份上市流通,7141250,7141250,58344012.5,0.057761795,8.17,-36.43659711,19.82323232
18,688717,艾罗能源,2025/1/3,"首发原股东限售股份,首发战略配售股份",35615633,35615633,1645798401,0.526736665,46.21,-11.43967102,-1.97916667
19,836247,华密新材,2025/1/3,追加承诺限售股份上市流通,76068664,46538020,928898879.1999999,0.529604236,19.96,-30.30821918,14.44717445
21,002324,普利特,2025/1/6,股权激励限售股份,971776,971776,8503040,0.001251586,8.75,-22.94372294,9.1011236
24,002327,富安娜,2025/1/6,股权激励限售股份,2784900,2784900,25147647,0.00570917,9.03,-2.65780731,-0.45506257
26,002179,中航光电,2025/1/6,股权激励限售股份,17193616,16956249,616529213.6,0.008148917,36.36,-7.83433134,4.14185165
25,300701,森霸传感,2025/1/6,定向增发机构配售股份,4039793.0000000005,4039793.0000000005,36762116.3,0.016497011,9.1,-12.03791469,8.62068966
22,688506,百利天恒,2025/1/6,首发战略配售股份,1619433,1619433,312599152,0.017589069,193.03,-14.42044281,-6.34445844
20,603285,键邦股份,2025/1/6,首发机构配售股份,802984,802984,16573589.76,0.0200746,20.64,-8.87237762,9.59232614
23,831689,克莱特,2025/1/6,追加承诺限售股份上市流通,2062500,2062500,38032500,0.055606682,18.44,-19.57446809,29.78835979
31,600663,陆家嘴,2025/1/6,定向增发机构配售股份,222222222,222222222,2066666664.6000001,0.070419676,9.3,-8.88828806,-3.1779661
30,600956,新天绿能,2025/1/6,定向增发机构配售股份,182685253,182685253,1348217167,0.077801684,7.38,-4.82398957,3.15068493
29,600941,中国移动,2025/1/6,首发战略配售股份,144145000,144145000,16021716750,0.159670061,111.15,6.17031177,-3.57643759
28,605287,德才股份,2025/1/6,追加承诺限售股份上市流通,40111909,40111909,454467928.96999997,0.286513636,11.33,-15.32198372,6.73076923
27,920098,科隆新材,2025/1/6,公开发行原股东限售股份,29225976,29225976,800791742.4,0.671279294,27.4,-30.17302678,-7.36591989
32,600057,厦门象屿,2025/1/7,股权激励限售股份,400221,400221,2409330.42,0.00018254,6.02,-5.27131783,-0.16366612
33,688521,芯原股份,2025/1/7,股权激励期权行权,718357,718357,34337464.6,0.001441062,47.8,-12.6459144,29.97772829
34,605020,永和股份,2025/1/7,股权激励限售股份,769985.0000000001,769985.0000000001,14845310.799999999,0.002030984,19.28,8.04727068,11.35416667
36,600549,厦门钨业,2025/1/7,股权激励限售股份,3358200,3358200,64678932.00000001,0.002368254,19.26,-7.20545278,4.51206716
35,605298,必得科技,2025/1/7,股权激励限售股份,2132000,2132000,25861160,0.011546043,12.13,-22.71831911,6.45709431
37,688176,亚虹医药,2025/1/7,首发原股东限售股份,6800454.999999999,6800454.999999999,45291030.300000004,0.01797726,6.66,-14.85788114,7.89074355
38,300444,双杰电气,2025/1/8,定向增发机构配售股份,73369565,0,0,0,6.53,-16.14123581,8.87218045
42,603596,伯特利,2025/1/8,股权激励限售股份,994000,994000,44720060,0.00163946,44.99,-4.18335559,37.59869949
41,603538,美诺华,2025/1/8,股权激励限售股份,866695,866695,10773018.850000001,0.004063012,12.43,-11.19030649,5.1364366
40,301292,海科新源,2025/1/8,追加承诺限售股份上市流通,1648103.0000000002,498666,6213378.36,0.005858391,12.46,-18.72561769,8.08
44,000620,新华联,2025/1/8,其他类型,526700000,526700000,1053400000,0.112742039,2,-12.5,-4.92610837
43,831855,浙江大农,2025/1/8,"追加承诺限售股份上市流通,公开发行原股东限售股份",40610051,40610051,633110695.1,0.605447747,15.59,-24.61904762,23.56285534
39,000610,西安旅游,2025/1/8,股权分置限售股份,15300,15300,188649,6.4966968e-05,12.33,-5.79710145,-0.08097166
46,605090,九丰能源,2025/1/9,"定向增发机构配售股份,债转股股东限售股份",3050662,3050662,80659503.28,0.00478035,26.44,-4.68358956,-0.97524381
45,301057,汇隆新材,2025/1/9,股权激励限售股份,396000,396000,4771800,0.004788423,12.05,-18.1880109,8.15986678
47,000837,秦川机床,2025/1/9,定向增发机构配售股份,38890499,38890499,337569531.32000005,0.038604695,8.68,-20.78169685,27.67749699
48,688192,迪哲医药,2025/1/9,首发原股东限售股份,57451788,57451788,2275090805,0.307698164,39.6,-19.96229577,8.03454593
