成交时间,成交价格,价格变动,成交量,成交金额,性质
09:25:02,9.8,0.0,257,251860,卖盘
09:30:05,9.81,0.01,190,185874,买盘
09:30:08,9.81,0.0,4,3924,卖盘
09:30:11,9.81,0.0,67,65727,卖盘
09:30:14,9.8,-0.01,104,101987,卖盘
09:30:17,9.8,0.0,25,24500,卖盘
09:30:20,9.8,0.0,222,217685,卖盘
09:30:23,9.8,0.0,38,37259,卖盘
09:30:26,9.81,0.01,33,32356,买盘
09:30:29,9.81,0.0,228,223652,买盘
09:30:32,9.81,0.0,19,18640,卖盘
09:30:35,9.78,-0.03,147,144000,卖盘
09:30:38,9.78,0.0,10,9786,卖盘
09:30:41,9.75,-0.03,110,107387,卖盘
09:30:44,9.8,0.05,541,527016,买盘
09:30:47,9.79,-0.01,4,3916,中性盘
09:30:50,9.75,-0.04,116,113755,卖盘
09:30:53,9.75,0.0,84,81974,买盘
09:30:56,9.8,0.05,32,31360,中性盘
09:30:59,9.8,0.0,191,187324,卖盘
09:31:02,9.76,-0.04,35,34301,卖盘
09:31:05,9.8,0.04,13,12740,中性盘
09:31:08,9.76,-0.04,31,30262,卖盘
09:31:11,9.76,0.0,70,68291,卖盘
09:31:14,9.75,-0.01,4,3904,卖盘
09:31:23,9.75,0.0,102,99495,卖盘
09:31:29,9.75,0.0,79,77055,卖盘
09:31:32,9.75,0.0,26,25358,卖盘
09:31:35,9.77,0.02,33,32230,买盘
09:31:38,9.8,0.03,580,567519,买盘
09:31:44,9.8,0.0,12,11758,卖盘
09:31:50,9.79,-0.01,3,2939,中性盘
09:31:53,9.8,0.01,1,980,买盘
09:31:56,9.8,0.0,35,34292,中性盘
09:32:02,9.79,-0.01,2,1958,卖盘
09:32:05,9.8,0.01,32,31359,买盘
09:32:08,9.8,0.0,115,112490,买盘
09:32:11,9.79,-0.01,29,28399,卖盘
09:32:14,9.8,0.01,4,3918,买盘
09:32:23,9.78,-0.02,7,6846,卖盘
09:32:26,9.78,0.0,9,8799,买盘
09:32:29,9.78,0.0,3,2934,卖盘
09:32:32,9.78,0.0,21,20538,卖盘
09:32:41,9.79,0.01,51,49888,买盘
09:32:44,9.77,-0.02,169,165130,卖盘
09:32:47,9.78,0.01,403,393745,买盘
09:32:50,9.77,-0.01,2,1955,中性盘
09:32:53,9.76,-0.01,50,48803,卖盘
09:32:59,9.78,0.02,104,101632,买盘
09:33:02,9.78,0.0,31,30288,买盘
09:33:05,9.77,-0.01,122,119312,卖盘
09:33:08,9.78,0.01,50,48900,中性盘
09:33:11,9.79,0.01,9,8810,买盘
09:33:14,9.78,-0.01,7,6846,卖盘
