,当前排名,代码,股票名称,最新价,涨跌额,涨跌幅
0,1,SZ000158,常山北明,22.42,2.2442420000000003,10.01
1,2,SH600839,四川长虹,10.52,1.0562079999999998,10.04
2,3,SH600120,浙江东方,6.78,0.682068,10.06
3,4,SZ000977,浪潮信息,60.28,4.285908,7.11
4,5,SZ002261,拓维信息,22.47,2.244753,9.99
5,6,SZ300766,每日互动,39.94,6.030939999999999,15.1
6,7,SZ002594,比亚迪,326.9,16.63921,5.09
7,8,SH600580,卧龙电驱,26.54,2.6513459999999998,9.99
8,9,SH601360,三六零,13.2,0.019799999999999998,0.15
9,10,SZ300059,东方财富,24.28,0.6045720000000001,2.49
10,11,SZ002031,巨轮智能,7.79,0.733039,9.41
11,12,SZ002354,天娱数科,7.32,-0.059292000000000004,-0.81
12,13,SH600186,莲花控股,6.51,0.649047,9.97
13,14,SZ002131,利欧股份,4.13,0.030149,0.73
14,15,SZ002881,美格智能,53.56,5.356,10.0
15,16,SZ300846,首都在线,18.52,3.709556,20.03
16,17,SZ002123,梦网科技,14.19,1.419,10.0
17,18,SH600410,华胜天成,9.58,0.594918,6.21
18,19,SZ002600,领益智造,10.16,0.405384,3.99
19,20,SH600588,用友网络,13.7,1.3754799999999998,10.04
20,21,SZ000681,视觉中国,26.51,0.941105,3.55
21,22,SZ000034,神州数码,39.88,3.991988,10.01
22,23,SZ002122,汇洲智能,5.29,0.527942,9.98
23,24,SH603019,中科曙光,75.02,2.078054,2.77
24,25,SH600126,杭钢股份,6.92,0.6933839999999999,10.02
25,26,SZ002520,日发精机,6.94,0.692612,9.98
26,27,SZ301236,软通动力,71.64,7.199820000000001,10.05
27,28,SZ300339,润和软件,59.72,3.3682079999999996,5.64
28,29,SZ000818,航锦科技,22.35,2.232765,9.99
29,30,SZ002691,冀凯股份,11.12,1.1108879999999999,9.99
30,31,SZ300251,光线传媒,13.96,0.47603600000000007,3.41
31,32,SZ000536,华映科技,4.9,0.49539,10.11
32,33,SZ300790,宇瞳光学,28.91,4.7238940000000005,16.34
33,34,SZ300718,长盛轴承,69.85,5.594984999999999,8.01
34,35,SH603667,五洲新春,46.5,2.4738,5.32
35,36,SZ002175,东方智造,5.28,0.528,10.0
36,37,SZ002036,联创电子,11.17,1.1225850000000002,10.05
37,38,SZ300377,赢时胜,30.29,4.05886,13.4
38,39,SZ839493,并行科技,140.07,42.020999999999994,30.0
39,40,SH600225,退市卓朗,0.3,-0.22743,-75.81
40,41,SH605398,新炬网络,37.16,3.7197159999999996,10.01
41,42,SZ002369,卓翼科技,7.55,0.75953,10.06
42,43,SZ300057,万顺新材,5.59,1.115764,19.96
43,44,SH603893,瑞芯微,186.79,0.261506,0.14
44,45,SZ002530,金财互联,12.23,-0.387691,-3.17
45,46,SZ000063,中兴通讯,42.91,-0.4848829999999999,-1.13
46,47,SZ000981,山子高科,2.28,0.126768,5.56
47,48,SH600633,浙数文化,13.59,1.3644359999999998,10.04
48,49,SZ002213,大为股份,18.17,1.8151830000000002,9.99
49,50,SZ300170,汉得信息,20.27,-0.8249890000000001,-4.07
50,51,SZ300229,拓尔思,27.41,-0.337143,-1.23
51,52,SZ003005,竞业达,40.56,4.060056,10.01
52,53,SZ002456,欧菲光,13.2,0.40128,3.04
53,54,SH601138,工业富联,21.55,1.12491,5.22
54,55,SZ000532,华金资本,18.51,0.858864,4.64
55,56,SZ002577,雷柏科技,23.38,2.342676,10.02
56,57,SH600481,双良节能,6.25,0.6275,10.04
57,58,SZ002448,中原内配,7.91,0.791791,10.01
58,59,SZ002861,瀛通通讯,18.4,1.83632,9.98
59,60,SH600756,浪潮软件,17.01,1.706103,10.03
60,61,SH688316,青云科技-U,58.87,11.774,20.0
61,62,SZ002542,中化岩土,3.73,0.374119,10.03
62,63,SZ002044,美年健康,4.94,0.49498800000000004,10.02
63,64,SZ002050,三花智控,35.32,0.09889600000000001,0.28
