,序号,股票代码,股票简称,现价,涨跌幅,个股热度,个股热度排名,排名日期
0,1,600839,四川长虹,10.52,10.04,506225.0,1/5396,20250207
1,2,600225,退市卓朗,0.3,-75.81,435191.0,2/5396,20250207
2,3,000158,常山北明,22.42,10.01,420142.0,3/5396,20250207
3,4,002261,拓维信息,22.47,9.99,380796.0,4/5396,20250207
4,5,600580,卧龙电驱,26.54,9.99,324455.0,5/5396,20250207
5,6,000977,浪潮信息,60.28,7.11,315652.5,6/5396,20250207
6,7,600120,浙江东方,6.78,10.06,315372.5,7/5396,20250207
7,8,002031,巨轮智能,7.79,9.41,304096.5,8/5396,20250207
8,9,600186,莲花控股,6.51,9.97,300645.5,9/5396,20250207
9,10,300766,每日互动,39.94,15.1,284078.5,10/5396,20250207
10,11,002122,汇洲智能,5.29,9.98,265551.0,11/5396,20250207
11,12,002881,美格智能,53.56,10.0,235770.5,12/5396,20250207
12,13,002354,天娱数科,7.32,-0.81,218679.0,13/5396,20250207
13,14,002123,梦网科技,14.19,10.0,217374.5,14/5396,20250207
14,15,002691,冀凯股份,11.12,9.99,211016.5,15/5396,20250207
15,16,300846,首都在线,18.52,20.03,208419.0,16/5396,20250207
16,17,002131,利欧股份,4.13,0.73,204478.0,17/5396,20250207
17,18,605398,新炬网络,37.16,10.01,201414.5,18/5396,20250207
18,19,002594,比亚迪,326.9,5.09,192239.5,19/5396,20250207
19,20,601360,三六零,13.2,0.15,184684.0,20/5396,20250207
20,21,000681,视觉中国,26.51,3.55,176779.0,21/5396,20250207
21,22,600410,华胜天成,9.58,6.21,175676.0,22/5396,20250207
22,23,300251,光线传媒,13.96,3.41,166038.5,23/5396,20250207
23,24,003005,竞业达,40.56,10.01,163661.5,24/5396,20250207
24,25,000034,神州数码,39.88,10.01,162680.0,25/5396,20250207
25,26,600126,杭钢股份,6.92,10.02,159715.5,26/5396,20250207
26,27,300377,赢时胜,30.29,13.4,158929.0,27/5396,20250207
27,28,002175,东方智造,5.28,10.0,157623.0,28/5396,20250207
28,29,002530,金财互联,12.23,-3.17,155148.5,29/5396,20250207
29,30,002213,大为股份,18.17,9.99,150713.0,30/5396,20250207
30,31,603019,中科曙光,75.02,2.77,150639.5,31/5396,20250207
31,32,600588,用友网络,13.7,10.04,149029.0,32/5396,20250207
32,33,000818,航锦科技,22.35,9.99,144901.0,33/5396,20250207
33,34,301236,软通动力,71.64,10.05,140248.0,34/5396,20250207
34,35,002730,电光科技,22.08,2.99,137320.0,35/5396,20250207
35,36,600355,精伦电子,3.72,10.06,136047.5,36/5396,20250207
36,37,300718,长盛轴承,69.85,8.01,134099.5,37/5396,20250207
37,38,002600,领益智造,10.16,3.99,131151.0,38/5396,20250207
38,39,603893,瑞芯微,186.79,0.14,130653.0,39/5396,20250207
39,40,300170,汉得信息,20.27,-4.07,122183.0,40/5396,20250207
40,41,002065,东华软件,8.45,8.19,121810.0,41/5396,20250207
41,42,603667,五洲新春,46.5,5.32,120855.5,42/5396,20250207
42,43,002050,三花智控,35.32,0.28,120038.0,43/5396,20250207
43,44,600633,浙数文化,13.59,10.04,119915.5,44/5396,20250207
44,45,002036,联创电子,11.17,10.05,116740.5,45/5396,20250207
45,46,839493,并行科技,140.07,30.0,116533.5,46/5396,20250207
46,47,000536,华映科技,4.9,10.11,115629.0,47/5396,20250207
47,48,000063,中兴通讯,42.91,-1.13,111970.5,48/5396,20250207
48,49,300229,拓尔思,27.41,-1.23,110387.0,49/5396,20250207
49,50,002448,中原内配,7.91,10.01,109830.5,50/5396,20250207
50,51,300059,东方财富,24.28,2.49,109711.5,51/5396,20250207
51,52,300790,宇瞳光学,28.91,16.34,107956.5,52/5396,20250207
52,53,300339,润和软件,59.72,5.64,106923.0,53/5396,20250207
53,54,300253,卫宁健康,9.26,16.19,105637.5,54/5396,20250207
54,55,002861,瀛通通讯,18.4,9.98,105168.5,55/5396,20250207
55,56,002456,欧菲光,13.2,3.04,101583.5,56/5396,20250207
56,57,002577,雷柏科技,23.38,10.02,101484.5,57/5396,20250207
57,58,300017,网宿科技,13.34,2.22,100650.5,58/5396,20250207
58,59,603110,东方材料,19.4,9.98,98411.5,59/5396,20250207
59,60,603636,南威软件,14.39,2.79,95205.0,60/5396,20250207
60,61,300057,万顺新材,5.59,19.96,92572.5,61/5396,20250207
61,62,603300,海南华铁,6.58,10.03,92410.0,62/5396,20250207
62,63,688316,青云科技,58.87,20.0,91800.0,63/5396,20250207
63,64,002230,科大讯飞,54.3,-0.55,91517.0,64/5396,20250207
64,65,002369,卓翼科技,7.55,10.06,90863.5,65/5396,20250207
65,66,002195,岩山科技,4.65,-0.21,90077.5,66/5396,20250207
66,67,601727,上海电气,7.9,3.13,89183.5,67/5396,20250207
67,68,603496,恒为科技,28.16,10.0,87344.5,68/5396,20250207
68,69,600756,浪潮软件,17.01,10.03,86907.5,69/5396,20250207
69,70,603166,福达股份,11.05,9.3,85739.5,70/5396,20250207
70,71,000981,山子高科,2.28,5.56,85270.0,71/5396,20250207
71,72,601138,工业富联,21.55,5.22,83984.0,72/5396,20250207
72,73,002520,日发精机,6.94,9.98,83661.0,73/5396,20250207
73,74,600789,鲁抗医药,9.99,5.49,80052.5,74/5396,20250207
74,75,000882,华联股份,2.75,0.0,79801.5,75/5396,20250207
75,76,000856,冀东装备,10.79,-3.92,79791.5,76/5396,20250207
76,77,002130,沃尔核材,24.05,1.73,79112.0,77/5396,20250207
77,78,000532,华金资本,18.51,4.64,78935.0,78/5396,20250207
78,79,000066,中国长城,14.87,4.5,76803.0,79/5396,20250207
79,80,002542,中化岩土,3.73,10.03,76586.5,80/5396,20250207
80,81,002583,海能达,13.49,4.49,76076.0,81/5396,20250207
