序号,代码,名称,最新价,涨跌幅,接待机构数量,接待方式,接待人员,接待地点,接待日期,公告日期
1,300232,洲明科技,7.91,-1.86,70,"特定对象调研,电话会议","董事会秘书 陈一帆,创新业务总经理 刘俊",公司总部会议室,2025-02-07,2025-02-10
2,688039,当虹科技,40.58,19.0,44,电话会议,"董事会秘书 谭亚,研究院负责人 谢亚光",2025年2月7日:电话会议,2025-02-07,2025-02-10
3,605488,福莱新材,34.36,-0.95,34,"现场参观,机构策略会","副总经理、财务负责人、董事会秘书 毕立林,证券事务代表 叶婷婷",天风策略会和公司会议室,2025-02-06,2025-02-10
4,601677,明泰铝业,12.32,0.49,32,电话交流会,,电话交流,2025-02-07,2025-02-10
5,300952,恒辉安防,24.71,-0.92,29,"特定对象调研,电话会议","董事、副总经理、董事会秘书 张武芬,证券事务代表 林旭金",线上会议形式,2025-02-10,2025-02-10
6,603072,天和磁材,35.35,-1.09,26,特定对象调研,"董事、总经理 陈雅,董事、财务总监、董事会秘书 张海潮,董事、副总经理 袁易,董事、副总经理 董义",公司会议室,2025-02-07,2025-02-10
7,839273,一致魔芋,24.46,4.75,26,投资者交流网络会议,董事会秘书 唐华林,网络会议,2025-02-06,2025-02-10
8,832110,雷特科技,32.46,-0.18,22,投资者网络交流会议,"董事会秘书 王华荣,财务总监 傅亮平",进门财经网络会议,2025-02-06,2025-02-10
9,872392,佳合科技,20.39,3.87,19,投资者交流网络会议,董事会秘书 段晓勇,进门财经网络平台,2025-02-07,2025-02-10
10,605599,菜百股份,10.84,-0.18,17,特定对象调研,董事、常务副总经理、董事会秘书 李沄沚,电话会议,2025-02-06,2025-02-10
11,603786,科博达,71.54,-0.15,16,特定对象调研,"董事会秘书 裴振东,证券事务代表 徐萍萍",,2025-01-16,2025-02-10
12,300217,东方电热,4.78,1.7,12,"特定对象调研,线上交流","公司董秘、副总经理 史经洋,公司董事、江苏东方九天总经理 朱晓龙",线上会议,2025-02-07,2025-02-10
13,301379,天山电子,23.3,5.24,9,"特定对象调研,现场参观","董事、副总经理 王嗣缜,副总经理、董事会秘书 叶小翠,总经理办公室负责人 罗欣,证券事务代表 林泽超",公司会议室,2025-02-10,2025-02-10
14,600177,雅戈尔,8.03,0.0,9,"特定对象调研,电话会议","董事会秘书 冯隽,证券事务代表 曹雨超,证券事务助理 林欣",线上,2025-02-06,2025-02-10
15,301387,光大同创,37.62,1.46,8,特定对象调研,董事会秘书 占梦昀,公司会议室,2025-02-10,2025-02-10
16,603786,科博达,71.54,-0.15,4,特定对象调研,"董事会秘书 裴振东,证券事务代表 徐萍萍",,2025-01-08,2025-02-10
17,001222,源飞宠物,16.72,0.42,2,"特定对象调研,线上会议","证券事务代表 方静,证券专员 王薇薇",浙江省平阳县水头镇标准园区宠乐路1号,2025-02-07,2025-02-10
18,002927,泰永长征,13.39,3.72,2,"特定对象调研,现场会议","董事会秘书、财务负责人 韩海凤,证券事务代表 周小菡",深圳市南山区高新中一道长园新材料港F栋4楼会议室,2025-02-07,2025-02-10
19,300016,北陆药业,6.77,5.12,2,特定对象调研,"董事会秘书 邵泽慧,证券事务代表 孙志芳",公司会议室,2025-02-07,2025-02-10
20,688395,正弦电气,18.65,1.08,2,特定对象调研,总经理助理 涂博言,公司会议室,2025-02-07,2025-02-10
21,301608,博实结,76.4,1.37,1,特定对象调研,"董事、财务总监 雷金华,副总经理、董事会秘书 向碧琼,证券事务代表 王占超",公司会议室、线上会议,2025-02-10,2025-02-10
22,002275,桂林三金,13.86,1.09,1,"特定对象调研,线下交流","桂林三金董秘 李春,桂林三金证代 朱烨",会议室,2025-02-09,2025-02-10
23,002728,特一药业,8.5,2.16,1,"媒体采访,邮件","董事、董事会秘书、财务总监、副总经理 陈习良,证券事务代表 徐少华",台山,2025-02-08,2025-02-10
24,002171,楚江新材,8.38,0.6,1,现场参观,"楚江新材董事会秘书 姜鸿文,楚江新材证券事务代表 李旭,楚江新材IR专员 吴寒",安徽楚江科技新材料股份有限公司,2025-02-07,2025-02-10
25,301345,涛涛车业,68.35,1.79,64,"现场参观,电话会议","董事长 曹马涛,董事会秘书、财务总监 孙永,证券事务代表 卢凤鹊",公司现场、电话会议,2025-02-06,2025-02-09
26,300766,每日互动,47.93,20.01,52,"特定对象调研,现场参观","董事长、总经理 方毅,副总经理、董事、CTO 叶新江,副总经理、财务负责人 朱剑敏,副总经理、董事会秘书 王冠鹏",公司展厅、公司会议室,2025-02-07,2025-02-09
27,300846,首都在线,22.22,19.98,35,特定对象调研,"董事、执行总裁 姚巍,董事、副总经理、董事会秘书 杨丽萍",线上会议,2025-02-07,2025-02-09
28,301323,新莱福,40.34,-0.69,31,电话交流会,"董事会秘书 许永刚,副总经理 郭春生,证券事务代表 刘春蕾",线上电话会议,2025-02-07,2025-02-09
29,002749,国光股份,13.75,3.15,4,"特定对象调研,现场调研","国光股份董事会秘书 颜铭,国光股份证券事务代表 李超",公司龙泉办公区,2025-02-07,2025-02-09
30,300113,顺网科技,20.66,3.92,78,特定对象调研,"副总经理、董事会秘书 戎颂怡,经营管理中心总监 韩挺",公司会议室、线上电话会议,2025-02-07,2025-02-08
31,002273,水晶光电,23.32,0.0,69,"特定对象调研,线上电话网络会议","副总经理、董事会秘书 韩莉,IR",,2025-02-07,2025-02-08
32,000600,建投能源,5.48,1.48,26,"特定对象调研,电话会议,现场调研","董事会秘书 孙原,证券事务代表 郭嘉,董事会办公室、投资者关系管理部、资本证券部相关人员",公司会议室,2025-01-15,2025-02-08
33,002469,三维化学,7.6,0.53,21,电话会议,董事会秘书 张军,电话会议,2025-02-07,2025-02-08
34,300676,华大基因,54.18,8.4,9,电话交流会,"总经理 赵立见,副总经理 朱师达,副总经理、财务总监 王玉珏,副总经理、董事会秘书 徐茜,副总经理 杨昀,交付中心负责人 姜丹,IT部副总监 梁伦纲",广东省深圳市盐田区云华路9号华大时空中心会议室,2025-02-07,2025-02-08
35,000425,徐工机械,7.86,2.34,8,特定对象调研,"李栋,刘敏芳",一、徐工体验厅;二、公司211会议室,2025-02-07,2025-02-08
36,300806,斯迪克,18.17,7.07,3,电话,"董事、财务总监、董事会秘书 吴江,证券事务代表 金丹丹",线上,2025-02-08,2025-02-08
37,301028,东亚机械,11.15,-0.62,2,"特定对象调研,现场参观","董事会秘书 韩文浩,证券事务代表 许志涌",厦门东亚机械工业股份有限公司,2025-02-07,2025-02-08
38,000795,英洛华,12.15,-0.33,1,特定对象调研,"董事会秘书 钱英红,证券事务代表 吴美剑",横店,2025-02-07,2025-02-08
39,301022,海泰科,22.26,0.5,1,特定对象调研,财务总监、董事会秘书 梁庭波,线上会议,2025-02-07,2025-02-08
40,301039,中集车辆,9.15,-0.65,1,"路演活动,电话会议","中集车辆副总裁、董事会秘书 毛弋,中集车辆投资者关系总监 陈婉婞,中集车辆CEO办公室高级项目主任 王佳慧,中集车辆投资者关系经理 闫维,中集车辆投资者关系部 朱乐瑶",深圳,2025-02-07,2025-02-08
41,301039,中集车辆,9.15,-0.65,1,"路演活动,线下路演","中集车辆副总裁、董事会秘书 毛弋,中集车辆投资者关系总监 陈婉婞,中集车辆CEO办公室高级项目主任 王佳慧,中集车辆投资者关系经理 闫维,中集车辆投资者关系部 朱乐瑶",深圳,2025-02-06,2025-02-08
42,301550,斯菱股份,112.4,15.58,82,"分析师会议,现场交流","董事长 姜岭,董事会秘书 安娜,证券事务代表 蔡航丽",上海,2025-02-06,2025-02-07
43,300248,新开普,12.09,2.72,41,电话交流会,董事会秘书、副总经理 赵鑫,线上电话会议,2025-02-06,2025-02-07
44,600298,安琪酵母,36.38,1.65,37,特定对象调研,董事会秘书 高路,腾讯电话会议线上交流,2025-02-07,2025-02-07
45,600166,福田汽车,2.46,0.41,24,电话会议,"福田汽车副总经理、新闻发言人 巩海东,福田汽车副总经理、卡文汽车总经理 秦志东,福田汽车副总经理、财务负责人 李庆华,福田汽车业务副总裁、海外事业部总裁 付军,福田汽车董事会秘书 陈维娟,福田汽车财务计划部总监 许莉莉,福田汽车产品管理部总监 李松涛,福田汽车董办副主任、证券事务代表 王桂青",北京,2025-01-26,2025-02-07
46,300488,恒锋工具,32.34,5.79,4,"特定对象调研,线上电话会议","董事、副总经理、董事会秘书 陈子怡,证券事务代表 胡金秋",线上电话会议、公司会议室,2025-02-06,2025-02-07
47,002572,索菲亚,16.23,2.2,3,电话交流会,公司管理层,公司会议室,2025-02-07,2025-02-07
48,300752,隆利科技,19.18,2.51,3,特定对象调研,"副总经理、董事会秘书 刘俊丽,证券事务代表 李姝涵",电话会议,2025-02-07,2025-02-07
49,605086,龙高股份,29.06,2.14,3,现场交流,证券事务代表 黄伟斌,龙岩高岭土股份有限公司,2025-02-06,2025-02-07
50,002916,深南电路,129.2,5.19,2,"特定对象调研,电话,网络会议",战略发展部总监、证券事务代表 谢丹,电话及网络会议,2025-02-07,2025-02-07
51,000951,中国重汽,18.17,0.33,1,特定对象调研,"董事会秘书助理、证券事务代表 张欣,投关专员 胡啸",公司会议室,2025-02-07,2025-02-07
52,001283,豪鹏科技,65.45,3.3,1,特定对象调研,"董事会秘书 陈萍,投资者关系 李方静",公司惠州潼湖会议室,2025-02-07,2025-02-07
53,002536,飞龙股份,13.42,-0.07,1,"特定对象调研,电话会议",副总经理、董事会秘书 谢国楼,飞龙汽车部件股份有限公司董秘室(线上),2025-02-07,2025-02-07
54,688305,科德数控,71.9,0.66,83,"电话会议,网络会议",总经理 陈虎,大连,2025-02-06,2025-02-06
55,300248,新开普,12.09,2.72,43,电话交流会,董事会秘书、副总经理 赵鑫,线上电话会议,2025-02-06,2025-02-06
56,000962,东方钽业,15.08,1.62,23,电话会议,"副总经理、董事会秘书 秦宏武,进出口公司副总经理、销售部副部长 吕建波,财务部副部长 赵靖宁,证券部 孙立喆",电话会议,2025-02-06,2025-02-06
57,300769,德方纳米,35.1,1.77,4,特定对象调研,副总经理、董事会秘书 何艳艳,公司会议室,2025-02-06,2025-02-06
58,002362,汉王科技,27.37,1.6,4,路演活动,副总经理、董事会秘书 周英瑜,进门财经线上路演平台,2025-02-04,2025-02-06
59,600999,招商证券,18.58,0.0,2,"券商策略会,进门财经线上会议",投资者关系工作人员,,2025-01-13,2025-02-06
60,600999,招商证券,18.58,0.0,2,线上调研,投资者关系工作人员,,2025-01-08,2025-02-06
61,002728,特一药业,8.5,2.16,1,"特定对象调研,特一药业线上交流会","董事、董事会秘书、财务总监、副总经理 陈习良,证券事务代表 徐少华",公司二楼会议室,2025-02-06,2025-02-06
62,301276,嘉曼服饰,20.11,0.1,1,特定对象调研,董事会秘书、副总经理 程琳娜,公司会议室,2025-02-06,2025-02-06
63,002223,鱼跃医疗,35.59,-0.7,134,特定对象调研,"董事长、总经理 吴群,副总经理、首席财务官 张勇,董事、董事会秘书 王瑞洁,投资者关系总监 李扬",电话会议,2025-02-04,2025-02-05
64,600745,闻泰科技,36.0,-0.11,112,电话会议,"董事会秘书 高雨,CFO 张彦茹,IR 徐国靖",线上电话会议,2025-01-17,2025-02-05
65,002886,沃特股份,17.9,-1.27,58,路演活动,"董事会秘书、副总经理 张亮,证券事务代表 李燕开",线上电话会议,2025-02-05,2025-02-05
66,300226,上海钢联,26.87,6.29,38,其他,"董事会秘书、财务总监 李勇胜,首席技术官 郭君",电话会议及其他,2025-02-05,2025-02-05
67,600487,亨通光电,16.02,-0.06,34,"线上及线下交流会,说明会,策略会","董事长 崔巍,总经理 张建峰,董事会秘书 顾怡倩,财务总监 吴燕,董事会办公室 王志超",,2025-01-27,2025-02-05
68,688668,鼎通科技,48.38,0.75,5,"特定对象调研,现场参观","董事长、总经理 王成海,董事会秘书 王晓兰,财务总监 陈公平,证券代表 严梦婷",现场调研公司会议室,2025-01-09,2025-02-05
69,688668,鼎通科技,48.38,0.75,2,"特定对象调研,现场参观","董事长、总经理 王成海,董事会秘书 王晓兰,财务总监 陈公平,证券代表 严梦婷",现场调研公司会议室,2025-01-14,2025-02-05
70,688668,鼎通科技,48.38,0.75,2,"特定对象调研,现场参观","董事长、总经理 王成海,董事会秘书 王晓兰,财务总监 陈公平,证券代表 严梦婷",现场调研公司会议室,2025-01-10,2025-02-05
71,000625,长安汽车,14.18,4.73,1,特定对象调研,证券事务代表 揭中华,公司会议室,2025-02-05,2025-02-05
72,688008,澜起科技,72.61,0.36,250,电话会议,公司董事会秘书 傅晓等,通过电话会议形式接待调研,2025-01-23,2025-01-27
73,301308,江波龙,88.39,1.18,91,电话会议,"副总经理、董事会秘书 许刚翎,投资者关系经理 黄琦",电话会议,2025-01-26,2025-01-27
74,688522,纳睿雷达,58.31,0.69,62,线上会议,"副总经理、董事会秘书 龚雪华,证券事务专员 冯晓茵",线上会议,2025-01-24,2025-01-27
75,688733,壹石通,20.04,2.87,38,"分析师会议,业绩说明会,电话会议","副总经理、财务总监 张月月,营销总监 张华,董事会秘书 邵森",,2025-01-24,2025-01-27
