序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业
1,002036,联创电子,10.049261093139648,11.17,321588416,11764308908.87,11833165580.8,2.733593702316284,339725463,092500,092500,0,2/2,2,光学光电
2,002213,大为股份,9.987894058227539,18.17,1267176096,3742926678.88,4309106350.0,34.11323165893555,47643557,092500,141618,6,3/3,3,半导体
3,002520,日发精机,9.984151840209961,6.94,191205120,4979034786.740001,5206701465.92,3.8402044773101807,62549040,092500,092500,0,2/2,2,通用设备
4,002881,美格智能,10.002053260803223,53.56,28122749,9697560424.24,14022106764.640001,0.2899981737136841,1140947438,092500,092500,0,5/5,5,消费电子
5,605398,新炬网络,10.00592041015625,37.16,43799935,6046540643.639999,6046540643.639999,0.7243800759315491,181527157,092500,092500,0,16/8,7,互联网服
6,600126,杭钢股份,10.015897750854492,6.92,95059611,23370148454.36,23370148488.96,0.40675655007362366,921077341,092501,092501,0,3/3,3,钢铁行业
7,605228,神通科技,10.010213851928711,10.77,52288318,4555805206.8,4588147516.8,1.1477293968200684,45644337,092501,092501,0,1/1,1,汽车零部
8,688316,青云科技-U,19.99592399597168,58.87,120538562,2116036231.3999999,2813967632.56,5.696431636810303,191758251,092501,092501,0,3/3,3,互联网服
9,600633,浙数文化,10.040485382080078,13.59,303025744,17233132074.48,17233132183.2,1.7583904266357422,238251726,092502,092502,0,3/3,3,游戏
10,603390,通达电气,10.039369583129883,11.18,33837388,3910263862.7,3931692781.12,0.8653479218482971,131640028,092502,092502,0,2/2,2,汽车零部
11,603110,东方材料,9.977324485778809,19.4,1128525776,3903798600.7999997,3903798600.7999997,29.785903930664062,43364820,092503,143818,5,3/3,3,化学制品
12,603150,万朗磁塑,10.0,32.34,427080336,1730719729.2000003,2764520220.0000005,24.83293914794922,37381062,092503,100627,4,2/2,2,塑料制品
13,603300,海南华铁,10.033445358276367,6.58,447345328,12981076580.78,12981076534.72,3.446134328842163,113516528,092503,092503,0,2/2,2,专用设备
14,688158,优刻得-W,19.97991943359375,23.9,620859232,9614107401.199999,10828972603.199999,6.457793712615967,209435484,092503,092503,0,3/3,3,互联网服
