,股票名称,涨跌幅,所属板块名称,市场代码,现价,市场缩写,排名变化,市场,综合热度
0,利欧股份,+0.73%,通用设备,002131,4.13,SZ,0,ab,14962
1,永泰能源,+2.55%,煤炭开采,600157,1.61,SH,0,ab,12902
2,东方财富,+2.49%,证券Ⅱ,300059,24.28,SZ,0,ab,9336
3,中国联通,+1.95%,通信服务,600050,5.23,SH,0,ab,8556
4,山子高科,+5.56%,汽车零部件,000981,2.28,SZ,0,ab,8221
5,四川长虹,+10.04%,黑色家电,600839,10.52,SH,0,ab,8129
6,领益智造,+3.99%,消费电子,002600,10.16,SZ,0,ab,7241
7,浙江东方,+10.06%,多元金融,600120,6.78,SH,0,ab,7203
8,岩山科技,-0.21%,IT服务Ⅱ,002195,4.65,SZ,0,ab,7061
9,巨轮智能,+9.41%,专用设备,002031,7.79,SZ,0,ab,6655
10,天娱数科,-0.81%,广告营销,002354,7.32,SZ,0,ab,6513
11,海航控股,+2.58%,航空机场,600221,1.59,SH,0,ab,6353
12,三六零  ,+0.15%,软件开发,601360,13.2,SH,0,ab,6339
13,汇洲智能,+9.98%,通用设备,002122,5.29,SZ,0,ab,6110
14,华联股份,0.00%,一般零售,000882,2.75,SZ,0,ab,5341
15,网宿科技,+2.22%,IT服务Ⅱ,300017,13.34,SZ,0,ab,5306
16,天风证券,+3.07%,证券Ⅱ,601162,4.36,SH,0,ab,5286
17,包钢股份,+1.07%,普钢,600010,1.89,SH,0,ab,5232
18,莲花控股,+9.97%,调味发酵品Ⅱ,600186,6.51,SH,0,ab,5191
19,TCL科技,+0.20%,光学光电子,000100,5.09,SZ,0,ab,4953
20,农业银行,-0.40%,国有大型银行Ⅱ,601288,5.02,SH,0,ab,4760
21,汤姆猫,+0.80%,游戏Ⅱ,300459,6.29,SZ,0,ab,4751
22,京东方Ａ,0.00%,光学光电子,000725,4.54,SZ,0,ab,4700
23,上海电气,+3.13%,其他电源设备Ⅱ,601727,7.9,SH,0,ab,4682
24,鑫科材料,-1.25%,金属新材料,600255,3.94,SH,0,ab,4603
25,山东矿机,+3.15%,专用设备,002526,4.26,SZ,0,ab,4595
26,供销大集,+1.13%,一般零售,000564,2.68,SZ,0,ab,4553
27,中公教育,+0.87%,教育,002607,3.48,SZ,0,ab,4500
28,欧菲光,+3.04%,光学光电子,002456,13.2,SZ,0,ab,4060
29,永辉超市,+1.52%,一般零售,601933,5.36,SH,0,ab,3951
30,华胜天成,+6.21%,IT服务Ⅱ,600410,9.58,SH,0,ab,3819
31,康美药业,+0.88%,中药Ⅱ,600518,2.29,SH,0,ab,3800
32,工商银行,0.00%,国有大型银行Ⅱ,601398,6.69,SH,0,ab,3676
33,光线传媒,+3.41%,影视院线,300251,13.96,SZ,0,ab,3619
34,蓝色光标,+0.20%,广告营销,300058,10.04,SZ,0,ab,3446
35,捷成股份,+2.26%,影视院线,300182,6.79,SZ,0,ab,3439
36,太平洋  ,+1.98%,证券Ⅱ,601099,4.13,SH,0,ab,3345
37,中兴通讯,-1.13%,通信设备,000063,42.91,SZ,0,ab,3287
38,方正科技,-0.38%,元件,600601,5.25,SH,0,ab,3286
39,万  科Ａ,+5.70%,房地产开发,000002,7.42,SZ,0,ab,3269
40,奋达科技,+2.63%,消费电子,002681,7.81,SZ,0,ab,3244
41,飞利信,+2.81%,IT服务Ⅱ,300287,5.86,SZ,0,ab,3201
42,东方智造,+10.00%,通用设备,002175,5.28,SZ,0,ab,3180
43,北汽蓝谷,+5.68%,乘用车,600733,8.75,SH,0,ab,3170
44,东华软件,+8.19%,IT服务Ⅱ,002065,8.45,SZ,0,ab,3141
45,退市卓朗,-75.81%,IT服务Ⅱ,600225,0.3,SH,0,ab,3128
46,汉得信息,-4.07%,IT服务Ⅱ,300170,20.27,SZ,0,ab,3040
47,工业富联,+5.22%,消费电子,601138,21.55,SH,0,ab,2893
48,岭南股份,-0.90%,基础建设,002717,3.29,SZ,0,ab,2878
49,东方集团,+3.68%,贸易Ⅱ,600811,1.97,SH,0,ab,2875
