时间,代码,名称,板块,相关信息
14:55:45,920002,万达轴承,大笔买入,"12119,83.50000,0.011018"
14:55:00,001282,三联锻造,大笔买入,"80920,25.90000,-0.046392"
14:54:37,301568,思泰克,大笔买入,"58900,42.47000,0.012396"
14:54:24,872895,花溪科技,大笔买入,"76895,13.69000,0.087678"
14:54:16,300651,金陵体育,大笔买入,"117400,14.10000,0.077099"
14:54:06,871753,天纺标,大笔买入,"36108,29.13000,0.042233"
14:53:58,301230,泓博医药,大笔买入,"97900,29.90000,0.030334"
14:53:43,301027,华蓝集团,大笔买入,"300000,15.69000,-0.014384"
14:53:42,002367,康力电梯,大笔买入,"884200,6.88000,0.000000"
14:53:37,301030,仕净科技,大笔买入,"309300,22.50000,0.200000"
14:53:18,001395,C亚联,大笔买入,"27500,47.15000,0.152530"
14:53:10,603278,大业股份,大笔买入,"1076000,9.70000,0.010417"
14:52:34,301157,华塑科技,大笔买入,"21400,51.48000,0.010998"
14:52:25,300437,清水源,大笔买入,"191500,8.16000,0.017456"
14:51:57,834475,三友科技,大笔买入,"45929,22.08000,0.168165"
14:50:08,835892,中科美菱,大笔买入,"93971,13.99000,0.027921"
14:49:58,301488,豪恩汽电,大笔买入,"52000,67.07000,0.033791"
14:49:40,301007,德迈仕,大笔买入,"161800,20.02000,-0.020088"
14:48:03,002175,东方智造,大笔买入,"3084900,5.28000,0.100000"
14:48:00,001391,国货航,大笔买入,"1044400,7.27000,0.022504"
14:47:54,002175,东方智造,大笔买入,"2007800,5.27000,0.100000"
14:47:06,002659,凯文教育,大笔买入,"788700,4.81000,0.029851"
14:46:58,301568,思泰克,大笔买入,"52300,42.13000,0.004291"
14:46:55,301568,思泰克,大笔买入,"47800,42.13000,0.001669"
14:46:12,001225,和泰机电,大笔买入,"36200,33.97000,0.002969"
14:46:09,833533,骏创科技,大笔买入,"40035,43.03000,0.013912"
14:45:55,300718,长盛轴承,大笔买入,"218600,73.00000,0.128808"
14:45:49,301159,三维天地,大笔买入,"88500,34.78000,0.059364"
14:45:46,300354,东华测试,大笔买入,"144600,41.12000,-0.030045"
14:45:42,002205,国统股份,大笔买入,"200800,8.93000,0.063170"
14:44:55,301551,无线传媒,大笔买入,"35900,61.32000,0.179645"
14:44:40,301231,荣信文化,大笔买入,"55100,18.50000,0.004881"
14:44:04,301551,无线传媒,大笔买入,"36700,60.83000,0.172899"
14:43:30,002658,雪迪龙,大笔买入,"626700,6.71000,0.032357"
14:43:24,002795,永和智控,大笔买入,"503300,5.03000,0.004000"
14:42:23,688416,恒烁股份,大笔买入,"77985,42.71000,0.002582"
14:42:12,002858,力盛体育,大笔买入,"179500,13.48000,0.100408"
14:41:34,603496,恒为科技,大笔买入,"445500,28.15000,0.099609"
14:41:20,688332,中科蓝讯,大笔买入,"50210,130.87000,-0.041386"
14:41:06,003017,大洋生物,大笔买入,"118200,20.61000,0.002425"
14:40:43,301602,超研股份,大笔买入,"93998,22.90000,0.031574"
14:40:43,301378,通达海,大笔买入,"68400,29.97000,0.010459"
14:40:36,002917,金奥博,大笔买入,"331400,14.99000,-0.011866"
14:40:31,301488,豪恩汽电,大笔买入,"24200,66.97000,0.031631"
14:40:22,301548,崇德科技,大笔买入,"29700,43.75000,0.018579"
14:40:13,301488,豪恩汽电,大笔买入,"30300,66.45000,0.024225"
14:40:10,301488,豪恩汽电,大笔买入,"42300,66.38000,0.022682"
14:40:06,872953,国子软件,大笔买入,"29800,37.00000,0.036705"
14:39:58,301556,托普云农,大笔买入,"30200,100.08000,0.035411"
14:39:52,301556,托普云农,大笔买入,"18500,99.95000,0.034790"
14:39:25,301556,托普云农,大笔买入,"23100,99.51000,0.030234"
14:39:16,300391,长药控股,大笔买入,"417274,4.40000,0.045238"
14:39:01,300790,宇瞳光学,大笔买入,"304200,29.00000,0.167002"
14:38:13,603496,恒为科技,大笔买入,"448900,28.15000,0.099609"
14:38:12,839946,华阳变速,大笔买入,"211704,10.67000,0.299635"
14:37:54,839946,华阳变速,大笔买入,"194352,10.66000,0.298417"
14:37:42,002858,力盛体育,大笔买入,"208800,13.47000,0.099592"
14:37:34,301488,豪恩汽电,大笔买入,"24700,66.10000,0.018516"
14:37:27,002164,宁波东力,大笔买入,"1004700,6.11000,0.018212"
14:37:07,301389,隆扬电子,大笔买入,"108700,18.19000,0.025381"
14:37:06,002858,力盛体育,大笔买入,"166600,13.48000,0.097959"
14:36:20,603166,福达股份,大笔买入,"650100,11.12000,0.099901"
14:36:15,603194,中力股份,大笔买入,"54413,37.31000,0.066914"
14:35:36,837006,晟楠科技,大笔买入,"49800,22.25000,0.027239"
14:35:10,603496,恒为科技,大笔买入,"577600,28.16000,0.100000"
14:34:40,301626,苏州天脉,大笔买入,"22000,101.98000,0.007706"
14:34:34,301361,众智科技,大笔买入,"65500,29.54000,0.005107"
14:34:21,002620,瑞和股份,大笔买入,"324100,3.24000,0.022082"
14:34:21,002647,*ST仁东,大笔买入,"815000,5.59000,0.050752"
14:34:16,301226,祥明智能,大笔买入,"53000,25.00000,-0.023056"
14:33:58,301313,凡拓数创,大笔买入,"96800,26.00000,0.005012"
14:33:40,301577,美信科技,大笔买入,"21100,58.78000,-0.006090"
14:33:34,301359,东南电子,大笔买入,"56300,24.04000,0.007107"
14:33:25,301128,强瑞技术,大笔买入,"35700,61.35000,0.030425"
14:33:24,003005,竞业达,大笔买入,"155900,40.56000,0.099810"
14:33:10,300916,朗特智能,大笔买入,"113000,31.60000,0.023701"
14:31:04,301123,奕东电子,大笔买入,"97200,22.49000,-0.012753"
14:30:43,300556,丝路视觉,大笔买入,"132100,21.95000,0.093936"
14:30:04,300556,丝路视觉,大笔买入,"129400,21.88000,0.084990"
14:29:49,300556,丝路视觉,大笔买入,"145900,21.75000,0.078529"
14:29:25,301596,瑞迪智驱,大笔买入,"14600,138.88000,0.139026"
14:29:16,301220,亚香股份,大笔买入,"73500,48.09000,0.091405"
14:29:04,688583,思看科技,大笔买入,"17656,106.50000,0.002730"
14:28:56,688171,纬德信息,大笔买入,"62580,17.94000,0.008999"
14:28:51,003042,中农联合,大笔买入,"178000,15.90000,0.007619"
14:28:19,301076,新瀚新材,大笔买入,"77200,33.80000,-0.015147"
14:27:39,872953,国子软件,大笔买入,"32775,36.48000,0.021014"
14:27:04,301551,无线传媒,大笔买入,"611958,61.68000,0.195066"
14:26:46,300556,丝路视觉,大笔买入,"127000,21.46000,0.067594"
14:26:19,301128,强瑞技术,大笔买入,"30100,61.01000,0.028744"
14:25:34,301076,新瀚新材,大笔买入,"130100,33.92000,-0.011943"
14:25:31,301607,富特科技,大笔买入,"34900,37.26000,0.013326"
14:25:18,430090,同辉信息,大笔买入,"181839,6.75000,0.041667"
14:24:30,001266,宏英智能,大笔买入,"47200,25.28000,0.050270"
14:24:25,300884,狄耐克,大笔买入,"225600,11.59000,-0.002582"
14:24:19,301538,骏鼎达,大笔买入,"14600,72.48000,-0.006851"
14:24:19,301387,光大同创,大笔买入,"87600,36.22000,0.007230"
14:24:13,301312,智立方,大笔买入,"28100,46.10000,-0.006680"
14:24:06,002778,中晟高科,大笔买入,"582800,18.51000,0.093225"
14:24:06,833075,柏星龙,大笔买入,"43879,31.93000,-0.014202"
14:23:31,301380,挖金客,大笔买入,"62300,51.00000,0.007695"
14:23:28,688171,纬德信息,大笔买入,"60000,17.90000,0.006749"
14:23:25,603037,凯众股份,大笔买入,"622280,16.87000,0.099023"
14:23:13,300921,南凌科技,大笔买入,"116500,29.03000,0.012178"
14:23:13,603380,易德龙,大笔买入,"233000,27.63000,0.095125"
14:23:10,300846,首都在线,大笔买入,"542200,17.94000,0.160078"
14:23:07,300846,首都在线,大笔买入,"1196100,17.90000,0.154245"
14:23:03,002347,泰尔股份,大笔买入,"499500,7.46000,-0.015852"
14:22:43,300846,首都在线,大笔买入,"706700,17.77000,0.152301"
14:22:37,301030,仕净科技,大笔买入,"258080,21.81000,0.168000"
14:22:19,300846,首都在线,大笔买入,"499000,18.14000,0.164614"
14:22:06,002123,梦网科技,大笔买入,"916000,14.00000,0.075969"
14:22:03,002123,梦网科技,大笔买入,"721600,13.88000,0.064341"
14:22:00,002123,梦网科技,大笔买入,"1302029,13.73000,0.055039"
14:21:49,300846,首都在线,大笔买入,"793300,18.09000,0.174336"
14:21:37,300846,首都在线,大笔买入,"5085704,18.12000,0.187297"
14:21:34,301030,仕净科技,大笔买入,"1090960,22.50000,0.193600"
14:21:06,002123,梦网科技,大笔买入,"913100,14.10000,0.096124"
14:20:57,872953,国子软件,大笔买入,"38806,35.71000,0.005884"
