,排名较昨日变动,当前排名,代码,股票名称,最新价,涨跌额,涨跌幅
0,4727,174,SH605255,天普股份,14.73,1.4744730000000001,10.01
1,4494,689,SH688435,英方软件,36.65,5.391215,14.71
2,4438,899,SZ837344,三元基因,21.44,4.530272,21.13
3,4366,621,SH688246,嘉和美康,30.19,4.217543000000001,13.97
4,4354,273,SZ836871,派特尔,16.51,4.953,30.0
5,4338,185,SZ002634,棒杰股份,3.72,0.374232,10.06
6,4016,207,SZ002016,世荣兆业,6.2,0.61566,9.93
7,3912,674,SH603031,安孚科技,29.4,2.4255,8.25
8,3910,518,SZ002778,中晟高科,18.89,1.7718820000000002,9.38
9,3879,890,SZ300651,金陵体育,14.12,1.099948,7.79
10,3870,519,SH688503,聚和材料,56.98,7.46438,13.1
11,3733,1106,SZ836414,欧普泰,11.79,1.176642,9.98
12,3660,85,SH600207,安彩高科,4.71,0.473355,10.05
13,3603,919,SZ000626,远大控股,6.07,0.196061,3.23
14,3547,112,SH603618,杭电股份,6.35,0.638175,10.05
15,3451,286,SZ832171,志晟信息,23.55,7.057935,29.97
16,3426,413,SZ301198,喜悦智行,12.04,1.2100199999999999,10.05
17,3425,188,SZ002849,威星智能,16.89,1.694067,10.03
18,3419,641,SZ001223,欧克科技,47.86,3.393274,7.09
19,3388,1454,SH688078,龙软科技,28.98,1.704024,5.88
20,3365,123,SZ002613,北玻股份,4.36,0.44036000000000003,10.1
21,3357,1511,SH600234,*ST科新,5.86,0.294172,5.02
22,3235,176,SH603193,润本股份,28.71,2.8710000000000004,10.0
23,3195,179,SZ002674,兴业科技,10.16,1.011936,9.96
24,3170,1301,SH600603,ST广物,9.73,0.48260800000000004,4.96
25,3132,1885,SZ001256,炜冈科技,17.28,0.675648,3.91
26,3128,2176,SH688350,富淼科技,14.6,0.0,0.0
27,3111,2113,SH603137,恒尚节能,11.18,0.47962199999999994,4.29
28,3105,1097,SZ300937,药易购,26.85,1.7345100000000002,6.46
29,3092,672,SZ835985,海泰新能,11.85,1.2987600000000001,10.96
30,3088,1146,SZ833580,科创新材,11.8,1.7310600000000003,14.67
31,3084,905,SZ300254,仟源医药,9.14,0.506356,5.54
32,3063,156,SH600785,新华百货,11.68,1.165664,9.98
