item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,10.65
buy_1_vol,16279700
buy_2,10.64
buy_2_vol,268700
buy_3,10.63
buy_3_vol,137200
buy_4,10.62
buy_4_vol,12400
buy_5,10.61
buy_5_vol,10800
最新,10.65
均价,10.65
涨幅,10.02
涨跌,0.97
总手,324009
金额,345017789.0
换手,4.82
量比,1.92
最高,10.65
最低,10.63
今开,10.64
昨收,9.68
涨停,10.65
跌停,8.71
外盘,58903
内盘,265106
