成交时间,股票代码,股票简称,成交价格,成交量,成交额,大单性质,涨跌幅,涨跌额
2025-03-07 15:00:01,688235,百济神州,230.2,4000,92.08,买盘,-0.98%,-2.27
2025-03-07 15:00:01,688333,铂力特,90.0,30058,270.52,买盘,8.38%,7.54
2025-03-07 15:00:01,688300,联瑞新材,59.52,10599,63.09,买盘,-2.06%,-1.22
2025-03-07 15:00:01,688213,思特威,106.15,10000,106.15,买盘,-6.14%,-6.52
2025-03-07 15:00:01,605068,明新旭腾,14.54,79200,115.16,买盘,6.44%,0.94
2025-03-07 15:00:01,603081,大丰实业,14.85,70700,104.99,卖盘,3.41%,0.51
2025-03-07 15:00:01,688543,国科军工,56.17,9800,55.05,买盘,3.33%,1.87
2025-03-07 15:00:01,688543,国科军工,56.17,16400,92.12,买盘,3.33%,1.87
2025-03-07 15:00:01,688507,索辰科技,87.25,11372,99.22,卖盘,-8.20%,-7.15
2025-03-07 15:00:01,688047,龙芯中科,134.6,4200,56.53,卖盘,-3.17%,-4.26
2025-03-07 15:00:01,688295,中复神鹰,22.15,26476,58.64,买盘,0.32%,0.07
2025-03-07 15:00:01,600938,中国海油,24.9,120066,298.96,卖盘,0.20%,0.05
2025-03-07 15:00:01,688220,翱捷科技,99.0,11800,116.82,卖盘,-5.08%,-5.03
2025-03-07 15:00:01,688220,翱捷科技,99.0,13200,130.68,卖盘,-5.08%,-5.03
2025-03-07 15:00:01,688220,翱捷科技,99.0,9000,89.1,卖盘,-5.08%,-5.03
2025-03-07 15:00:01,688262,国芯科技,30.76,34368,105.72,卖盘,-4.03%,-1.24
2025-03-07 15:00:01,688262,国芯科技,30.76,62000,190.71,卖盘,-4.03%,-1.24
2025-03-07 15:00:01,688262,国芯科技,30.76,32600,100.28,买盘,-4.03%,-1.24
2025-03-07 15:00:01,688262,国芯科技,30.76,30000,92.28,买盘,-4.03%,-1.24
2025-03-07 15:00:01,600905,三峡能源,4.18,378501,158.21,卖盘,-0.48%,-0.02
2025-03-07 15:00:01,600905,三峡能源,4.18,362600,151.57,卖盘,-0.48%,-0.02
2025-03-07 15:00:01,605378,野马电池,26.79,41000,109.84,卖盘,-4.83%,-1.29
2025-03-07 15:00:01,688661,和林微纳,48.58,20391,99.06,卖盘,-3.86%,-1.87
2025-03-07 15:00:01,688186,广大特材,20.82,31800,66.21,卖盘,4.26%,0.89
2025-03-07 15:00:01,688186,广大特材,20.82,52468,109.24,买盘,4.26%,0.89
2025-03-07 15:00:01,688036,传音控股,103.58,16945,175.52,买盘,4.97%,5.14
2025-03-07 15:00:01,688036,传音控股,103.58,28893,299.27,买盘,4.97%,5.14
2025-03-07 15:00:01,688036,传音控股,103.58,9800,101.51,买盘,4.97%,5.14
2025-03-07 15:00:01,688036,传音控股,103.58,7200,74.58,买盘,4.97%,5.14
2025-03-07 15:00:01,688036,传音控股,103.58,8338,86.37,买盘,4.97%,5.14
2025-03-07 15:00:01,688036,传音控股,103.58,10703,110.86,买盘,4.97%,5.14
2025-03-07 15:00:01,688036,传音控股,103.58,10000,103.58,卖盘,4.97%,5.14
2025-03-07 15:00:01,688036,传音控股,103.58,24000,248.59,买盘,4.97%,5.14
2025-03-07 15:00:01,688188,柏楚电子,187.5,2800,52.5,卖盘,-1.61%,-3.01
2025-03-07 15:00:01,688418,震有科技,33.06,27800,91.91,卖盘,0.49%,0.16
2025-03-07 15:00:01,603160,汇顶科技,79.33,14800,117.41,卖盘,-1.76%,-1.4
2025-03-07 15:00:01,603160,汇顶科技,79.33,26700,211.81,卖盘,-1.76%,-1.4
2025-03-07 15:00:01,688800,瑞可达,51.4,14984,77.02,卖盘,-0.70%,-0.36
2025-03-07 15:00:01,688800,瑞可达,51.4,11200,57.57,卖盘,-0.70%,-0.36
2025-03-07 15:00:01,688393,安必平,40.23,13973,56.21,买盘,-4.74%,-1.91
2025-03-07 15:00:01,688488,艾迪药业,9.88,53600,52.96,卖盘,-3.14%,-0.31
2025-03-07 15:00:01,603901,永创智能,10.36,117500,121.73,买盘,1.17%,0.12
2025-03-07 15:00:01,603338,浙江鼎力,58.31,17900,104.37,卖盘,-0.80%,-0.47
2025-03-07 15:00:01,688111,金山办公,391.88,2200,86.21,卖盘,-1.56%,-6.11
2025-03-07 15:00:01,688111,金山办公,391.88,1825,71.52,买盘,-1.56%,-6.11
2025-03-07 15:00:01,688111,金山办公,391.88,3800,148.91,卖盘,-1.56%,-6.11
2025-03-07 15:00:01,688111,金山办公,391.88,2542,99.62,卖盘,-1.56%,-6.11
2025-03-07 15:00:01,688111,金山办公,391.88,3604,141.23,买盘,-1.56%,-6.11
2025-03-07 15:00:01,688111,金山办公,391.88,6348,248.77,买盘,-1.56%,-6.11
2025-03-07 15:00:01,688111,金山办公,391.88,2500,97.97,卖盘,-1.56%,-6.11
2025-03-07 15:00:01,688111,金山办公,391.88,2500,97.97,卖盘,-1.56%,-6.11
2025-03-07 15:00:01,688111,金山办公,391.88,2500,97.97,卖盘,-1.56%,-6.11
2025-03-07 15:00:01,688111,金山办公,391.88,2500,97.97,卖盘,-1.56%,-6.11
