序号,代码,名称,最近上榜日,收盘价,涨跌幅,上榜次数,龙虎榜净买额,龙虎榜买入额,龙虎榜卖出额,龙虎榜总成交额,买方机构次数,卖方机构次数,机构买入净额,机构买入总额,机构卖出总额,近1个月涨跌幅,近3个月涨跌幅,近6个月涨跌幅,近1年涨跌幅
1,300766,每日互动,2025-02-24,51.4,-15.0132,17,-510259315.69,13059610365.67,13569869681.36,26629480047.03,3,3,-29448885.53,187960767.82,217409653.35,166.32124352,246.82860999,471.74638487,345.40727903
2,688316,青云科技,2025-02-24,83.15,-15.1531,16,749953327.16,3025166673.32,2275213346.16,5300380019.48,1,2,-14572085.62,20919897.41,35491983.03,154.90496628,118.29876608,228.65612648,121.79247799
3,002261,拓维信息,2025-02-24,41.52,-0.5747,15,203867741.6,13392614012.26,13188746270.66,26581360282.92,8,9,-87904242.3,922886688.26,1010790930.56,144.81132075,89.67565098,284.44444444,188.53370396
4,688158,优刻得,2025-02-14,38.37,14.3666,14,7874908556.01,26977356314.06,19102447758.05,46079804072.11,2,1,250119171.12,306111611.82,55992440.7,205.49363057,143.31008243,309.93589744,248.81818182
5,002123,梦网科技,2025-02-24,17.24,-9.6436,13,58523958.7000001,16986135396.45,16927611437.75,33913746834.2,2,2,-33947487.61,36364855.49,70312343.1,58.31037649,59.9257885,200.87260035,80.52356021
6,000818,航锦科技,2025-02-24,36.44,-10.0025,12,71511836.0600014,18249745037.92,18178233201.86,36427978239.78,1,4,1347939.33000001,149553258.65,148205319.32,145.05716207,74.35406699,133.14139475,26.03869153
7,600225,退市卓朗,2025-02-24,0.23,-4.1667,12,-15706418.06,71459887.21,87166305.27,158626192.48,0,0,0.0,0.0,0.0,-81.4516129,-83.57142857,-83.91608392,-93.64640884
8,000856,冀东装备,2025-02-21,15.75,-6.5836,12,-19634806.23,1005859713.97,1025494520.2,2031354234.17,2,2,-1573115.11,64377208.89,65950324.0,99.36708861,99.11504425,175.34965035,147.64150943
9,300846,首都在线,2025-02-21,26.87,4.634,12,464200317.079999,22308933654.63,21844733337.55,44153666992.18,10,10,-36957987.38,318404604.2,355362591.58,109.43102104,88.42917251,184.63983051,153.96975425
10,839493,并行科技,2025-02-19,275.14,17.9593,11,-78462430.63,1348280645.24,1426743075.87,2775023721.11,1,2,-13005337.11,13207255.74,26212592.85,327.56798757,287.08497468,616.69705653,627.1141649
