序号,代码,名称,收盘价,涨跌幅,买方机构数,卖方机构数,机构买入总额,机构卖出总额,机构买入净额,市场总成交额,机构净买额占总成交额比,换手率,流通市值,上榜原因,上榜日期
1,603986,兆易创新,122.9,7.1958,3,1,1486497944.81,350476744.2,1136021200.61,17991781757,6.314111720303,9.6068,814.81,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,2025-01-09
2,688158,优刻得,28.68,20.0,2,2,1530272400.0,1009789300.0,520483100.0,5458397200,9.535456672153,35.7957,115.37,有价格涨跌幅限制的连续10个交易日内收盘价格涨幅偏离值累计达到100%的证券,2025-02-10
3,688347,华虹公司,60.28,17.9648,3,0,335829405.46,0.0,335829405.46,4128958300,8.133514098701,18.386,235.96,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券,2025-02-19
4,603728,鸣志电器,90.74,10.0012,2,1,390351872.25,76216431.0,314135441.25,5781655367,5.433313148393,6.1991,380.09,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,2025-02-21
5,000938,紫光股份,32.42,10.0102,4,1,365656442.64,75791740.63,289864702.01,7579818518,3.824164144849,8.4479,927.24,日涨幅偏离值达到7%的前5只证券,2025-02-21
6,603009,北特科技,44.09,1.6367,2,0,288132633.95,0.0,288132633.95,4150372219,6.942332367949,11.3372,149.2,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,2025-01-10
7,603236,移远通信,90.18,10.0024,2,0,268388004.92,0.0,268388004.92,6416954580,4.182482540183,13.1467,235.96,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,2025-01-21
8,688017,绿的谐波,149.0,14.9514,1,0,257006600.0,0.0,257006600.0,6220425300,4.131656399764,9.7801,251.46,有价格涨跌幅限制的连续3个交易日内收盘价格涨幅偏离值累计达到30%的证券,2025-01-14
9,688158,优刻得,27.9,-2.7197,1,0,251366644.32,0.0,251366644.32,5273875300,4.76626067211,42.7673,112.23,有价格涨跌幅限制的日换手率达到30%的前五只证券,2025-02-11
10,300251,光线传媒,28.94,19.9834,2,0,232004224.46,2847.0,232001377.46,8992712519,2.579882065281,11.756,806.62,日涨幅达到15%的前5只证券,2025-02-13
11,603918,金桥信息,20.89,10.0053,2,1,268885525.42,43788539.83,225096985.59,2174992668,10.349321581713,30.1804,76.51,有价格涨跌幅限制的日换手率达到20%的前五只证券,2025-02-14
12,688052,纳芯微,146.6,15.0436,3,0,211664200.0,0.0,211664200.0,764597600,27.683084540156,5.9164,136.84,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券,2025-01-17
13,603063,禾望电气,27.61,-2.9184,2,1,292838414.72,89457715.13,203380699.59,3489556319,5.828268152104,15.8278,122.59,非ST、*ST和S证券连续三个交易日内收盘价格跌幅偏离值累计达到20%的证券,2025-02-06
14,688114,华大智造,55.0,15.425,4,2,278540393.01,77209700.96,201330692.05,1103689100,18.241612792044,4.7975,117.11,有价格涨跌幅限制的连续3个交易日内收盘价格涨幅偏离值累计达到30%的证券,2025-02-07
15,002036,联创电子,13.16,-2.6627,2,0,218478380.88,20544674.0,197933706.88,4738932153,4.176757558234,34.77,138.6,日换手率达到20%的前5只证券,2025-02-12
16,603197,保隆科技,43.53,4.3134,4,2,260264837.2,71169307.0,189095530.2,1946278741,9.715747606781,11.2547,91.95,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,2025-02-07
17,300638,广和通,28.69,19.9916,3,2,360556011.61,177636846.19,182919165.42,6155756744,2.97151386949,25.028,152.74,连续三个交易日内，涨幅偏离值累计达到30%的证券,2025-01-21
18,300570,太辰光,95.75,-19.3752,3,1,287278934.4,104853276.0,182425658.4,3474462228,5.250471768836,18.1867,184.12,日跌幅达到15%的前5只证券,2025-02-05
19,300607,拓斯达,29.4,15.3393,4,1,246652645.13,73484559.58,173168085.55,2443543288,7.086761523743,26.1007,99.28,日涨幅达到15%的前5只证券,2025-01-02
