序号,代码,名称,收盘价,涨跌幅,龙虎榜成交金额,上榜次数,机构买入额,机构买入次数,机构卖出额,机构卖出次数,机构净买额,近1个月涨跌幅,近3个月涨跌幅,近6个月涨跌幅,近1年涨跌幅
1,000759,中百集团,7.82,-10.0115,45381449519.36,20,836005396.79,30,1003219004.07,31,-167213607.28,-39.61389961,90.73170732,158.94039735,104.71204188
2,002364,中恒电气,17.51,9.9874,6131019528.74,17,1101834833.57,39,1129326130.9,38,-27491297.33,24.71509972,136.62162162,191.34775374,272.87466656
3,002582,好想你,8.39,-9.9785,3934180663.67,16,428617357.47,24,339824675.3,24,88792682.17,-5.30474041,28.09160305,75.57864055,71.142552
4,002031,巨轮智能,9.16,3.0371,13133143896.65,15,688130877.41,18,862481399.42,18,-174350522.01,26.51933702,121.25603865,305.30973451,168.62170088
5,002717,岭南股份,4.35,2.5943,7930769891.82,15,1574517625.45,35,1333845739.35,35,240671886.1,26.45348837,36.36363636,367.74193548,116.41791045
6,002175,东方智造,5.81,10.0379,7990307974.16,14,1617642203.26,27,1554292790.47,27,63349412.79,28.53982301,99.65635739,209.04255319,222.77777778
7,300276,三丰智能,16.27,11.5147,59948206762.63,13,1398667840.88,20,1097412345.8,20,301255495.08,50.92764378,160.32,357.02247191,329.28759894
8,301157,华塑科技,63.87,4.8596,1392036892.79,13,289025264.19,35,334759925.75,36,-45734661.56,22.59117083,62.51908397,110.44481054,101.75030185
9,002137,实益达,10.27,6.4249,3259462237.86,12,573054114.92,22,690993094.63,22,-117938979.71,17.37142857,75.2559727,113.51351351,142.21698113
10,002640,跨境通,5.62,8.2852,5646583307.34,12,858756858.28,22,988273694.6,22,-129516836.32,2.93040293,80.12820513,304.31654676,56.545961
11,002861,瀛通通讯,14.98,-9.1019,2284984879.35,12,384616653.85,32,383700059.74,32,916594.11,28.25342466,12.80120482,45.57823129,121.67961484
12,000882,华联股份,2.75,-9.5395,5427249205.68,11,1008249914.52,22,1287543104.49,22,-279293189.97,9.12698413,36.8159204,139.13043478,106.76691729
13,002369,卓翼科技,10.35,9.9894,4428064280.46,11,655472286.0,20,781079456.0,20,-125607170.0,57.29483283,58.4992343,145.26066351,194.03409091
14,002449,国星光电,11.55,2.3029,7763499260.67,11,1461612233.13,34,1408869003.65,33,52743229.48,25.95419847,50.98039216,60.63977747,38.48897448
15,300251,光线传媒,29.66,-14.5983,49364275221.54,11,511202533.38,6,1702953339.1,14,-1191750805.72,231.76733781,228.4606866,314.82517483,293.38167293
16,300718,长盛轴承,98.77,19.9976,146081935987.31,11,811958354.41,19,920450342.84,22,-108491988.43,148.22819804,473.57723577,686.64070053,645.78573247
17,603667,五洲新春,42.06,-3.2214,8116432897.63,11,156534078.7,2,1003522391.49,12,-846988312.79,77.8435518,130.97199341,182.47145735,221.92777818
18,000573,粤宏远A,4.4,-8.7137,8271694336.51,10,621317127.36,25,631235976.9,28,-9918849.54,28.27988338,52.24913495,103.7037037,77.68916239
19,000681,视觉中国,27.52,-9.9771,10422264099.22,10,702007669.54,11,630716368.92,11,71291300.62,36.23762376,84.08026756,150.62911534,132.64512608
20,002122,汇洲智能,4.92,-6.9943,4814433776.5,10,620276865.7,13,467978571.02,13,152298294.68,31.2,57.1884984,142.36453202,52.79503106
21,002131,利欧股份,4.71,3.7445,13276050180.2,10,1592207582.01,19,1663928470.21,19,-71720888.2,29.75206612,125.35885167,224.82758621,119.00273394
22,002272,川润股份,11.8,-2.237,3200115977.08,10,723974448.68,36,930052719.62,37,-206078270.94,43.90243902,-0.25359256,158.20568928,152.96208127
23,002361,神剑股份,4.9,-9.9265,3546880920.33,10,410600482.91,17,617446901.8,18,-206846418.89,5.83153348,46.70658683,57.05128205,29.48326602
24,002730,电光科技,22.08,2.9851,13666686034.03,10,227428023.59,10,205790616.62,11,21637406.97,46.90618762,181.27388535,242.85714286,288.96223017
25,301315,威士顿,62.55,-10.2969,2313836280.2,10,574664550.5,27,546109079.72,27,28555470.78,28.01882931,34.68992248,103.87874837,13.16594462
26,301536,星宸科技,89.28,0.2695,3066572543.98,10,506694847.67,26,414156011.23,21,92538836.44,20.89370345,85.30510585,162.66548985,453.88426262
27,600679,上海凤凰,15.22,-9.9408,3314025235.67,10,300216437.18,5,369328065.95,8,-69111628.77,38.23796549,54.97542828,79.61816423,57.69991875
28,000533,顺钠股份,7.08,7.2727,18988435408.13,9,213318120.39,9,324094554.95,14,-110776434.56,57.68374165,91.35135135,129.12621359,70.19230769
29,000880,潍柴重机,28.81,10.0038,2951113572.54,9,806338233.78,31,836458830.81,33,-30120597.03,34.43770415,143.66834076,228.59147547,260.17770391
30,001209,洪兴股份,20.06,0.7534,817434601.46,9,86237034.4,18,138770140.2,18,-52533105.8,43.59341446,71.45299145,44.10515094,8.75714189
31,002076,星光股份,2.9,7.0111,2073696459.48,9,288196015.22,18,312115078.29,18,-23919063.07,1.3986014,51.04166667,90.78947368,32.42009132
32,002112,三变科技,18.55,3.1702,3290685368.18,9,624369466.25,20,611849866.74,23,12519599.51,44.80874317,66.51705566,117.97884841,128.65860594
33,002403,爱仕达,19.36,-9.9954,2755593598.01,9,362851685.6,16,371026272.21,17,-8174586.61,91.68316832,197.84615385,181.80494905,127.76470588
34,300333,兆日科技,18.16,0.721,3584978382.22,9,687613079.84,22,670840189.44,22,16772890.4,29.34472934,132.82051282,275.98343685,146.0704607
35,300344,立方数科,10.75,19.9777,12709046562.92,9,538489723.12,22,549566417.48,22,-11076694.36,36.76844784,82.20338983,221.85628743,257.14285714
36,300846,首都在线,26.87,4.634,42502686417.86,9,318404604.2,10,355362591.58,10,-36957987.38,109.43102104,88.42917251,184.63983051,153.96975425
37,002045,国光电器,17.6,-3.9825,7394668763.35,8,530470672.99,13,331773649.41,8,198697023.58,-5.37634409,33.73860182,44.73684211,16.32518176
38,002187,广百股份,8.95,-9.9598,1637932475.05,8,231663235.0,15,283696523.77,14,-52033288.77,37.48079877,82.28105906,111.58392435,46.76159237
39,002195,岩山科技,4.48,10.0737,6624181618.68,8,997162705.41,14,550144433.74,13,447018271.67,21.40921409,52.90102389,84.36213992,89.71692058
40,002261,拓维信息,41.52,-0.5747,9820722246.61,8,922886688.26,8,1010790930.56,9,-87904242.3,144.81132075,89.67565098,284.44444444,188.53370396
41,002779,中坚科技,133.25,-9.9966,3999259147.66,8,1299267499.84,34,977699148.1,29,321568351.74,44.19435126,126.7699115,305.26155718,319.44030227
42,002862,实丰文化,35.64,-10.0,6856904714.86,8,143863410.0,12,201730541.9,11,-57867131.9,20.81355932,105.41786744,167.16641679,208.57142857
43,300153,科泰电源,32.99,14.1522,3208659147.87,8,1015324897.48,27,931131048.63,28,84193848.85,102.64127764,316.54040404,513.19702602,466.83848797
44,301252,同星科技,37.35,-4.8408,869171210.68,8,151195783.87,23,227844785.66,23,-76649001.79,25.84231806,36.76309044,35.96650892,38.17207555
45,600272,开开实业,16.56,8.8042,1576461899.59,8,253783878.13,6,139912654.36,5,113871223.77,37.7703827,35.29411765,90.54294793,46.85585228
46,839725,惠丰钻石,42.2,8.5391,877492139.54,8,302735027.87,15,33229567.99,4,269505459.88,5.0273768,263.16695353,328.42639594,147.99190858
47,000785,居然智家,5.01,-10.0539,4317059368.44,7,505516516.73,11,578107377.02,12,-72590860.29,39.16666667,81.52173913,102.01612903,68.07218531
48,002117,东港股份,13.16,10.0334,2131454833.32,7,201713761.0,9,233167042.14,9,-31453281.14,33.60406091,81.34194592,88.30671483,77.24441769
49,002269,美邦服饰,2.43,-7.2519,2097437294.06,7,374242482.7,17,405863309.7,17,-31620827.0,-0.81632653,40.46242775,120.90909091,40.46242775
50,002354,天娱数科,8.16,1.3665,3120231038.69,7,222412190.23,8,251512018.65,9,-29099828.42,39.96569468,110.30927835,201.10701107,115.30343008
51,002681,奋达科技,8.69,3.0842,6430898830.76,7,741119770.07,12,785870493.67,15,-44750723.6,23.4375,60.03683241,143.41736695,112.46943765
52,002929,润建股份,62.24,10.0035,5530484098.18,7,1311933696.87,25,747227309.14,20,564706387.73,101.42394822,108.23017732,133.19595354,100.42560692
53,003041,真爱美家,25.99,-7.9674,4767382096.68,7,178267386.56,21,216519339.45,22,-38251952.89,111.99021207,135.63009973,101.94250194,57.83444195
54,300170,汉得信息,25.22,19.981,9655146716.18,7,1251523513.28,18,1103019613.2,20,148503900.08,123.18584071,148.71794872,329.5838479,310.03945988
55,300280,紫天科技,15.9,-16.5354,1743191012.37,7,403197432.0,31,382451423.25,30,20746008.75,-12.34840132,-8.62068966,9.05349794,-47.0
56,300561,汇金科技,61.5,3.7099,35803929396.42,7,988400012.9,14,945667976.3,13,42732036.6,34.63222417,207.03944084,555.65031983,435.403954
57,300840,酷特智能,26.1,-8.2601,2542558759.16,7,563491948.34,16,529703592.76,16,33788355.58,43.88092613,128.94736842,203.48837209,70.67173843
58,300941,创识科技,24.5,-20.0131,1547322033.63,7,299506846.25,17,356449250.57,17,-56942404.32,6.29067245,15.67109782,37.76557718,-1.45042258
59,301202,朗威股份,58.1,18.5231,1195992020.91,7,354526201.46,20,222745736.9,17,131780464.56,50.20682523,70.4312115,141.81961882,134.22938436
