序号,营业部名称,上榜日,买入个股数,卖出个股数,买入总金额,卖出总金额,总买卖净额,买入股票
1,深股通专用,2025/2/19,14,15,3140164064,2242973726,897190337.9,北方国际 新希望 巨轮智能 美年健康 东华软件 拓维信息 中大力德 润建股份 地铁设计 汉威科技 海兰信 双林股份 三丰智能 长盛轴承 固高科技
2,深股通专用,2025/2/21,19,20,4812281409,4141342107,670939302.2,深桑达A 广聚能源 紫光股份 亿道信息 东华软件 银轮股份 拓维信息 光迅科技 科华数据 雷赛智能 京北方 盛视科技 国民技术 三丰智能 光环新网 润泽科技 新雷能 江苏雷利 奥飞数据 隆扬电子
3,国泰君安证券股份有限公司上海分公司,2025/2/13,3,0,661523478.5,19453,661504025.5,亿嘉和 视觉中国 优刻得
4,国泰君安证券股份有限公司上海海阳西路证券营业部,2025/1/23,2,0,624404897,0,624404897,豆神教育 汉得信息
5,国泰君安证券股份有限公司上海海阳西路证券营业部,2025/2/18,3,0,604827135.9,0,604827135.9,拓维信息 海南华铁 数据港
6,东方财富证券股份有限公司昌都两江大道证券营业部,2025/1/9,5,3,867827174,268860108.6,598967065.4,利欧股份 东百集团 友好集团 好想你 来伊份
7,国泰君安证券股份有限公司北京光华路证券营业部,2025/2/21,1,0,571750292.5,,571750292.5,寒武纪
8,联储证券股份有限公司宁波分公司,2025/1/10,1,1,617432528.8,56312580.47,561119948.3,粤宏远A 方正科技
9,深股通专用,2025/2/20,14,13,2650281242,2115883144,534398098.3,广聚能源 巨轮智能 东华软件 水晶光电 胜利精密 中大力德 润建股份 地铁设计 硅宝科技 双林股份 三丰智能 奥飞数据 明月镜片 威尔高
10,天风证券股份有限公司深圳分公司,2025/2/10,2,0,516494247.7,7715698,508778549.7,神州数码 优刻得
