序号,营业部名称,上榜后1天-买入次数,上榜后1天-平均涨幅,上榜后1天-上涨概率,上榜后2天-买入次数,上榜后2天-平均涨幅,上榜后2天-上涨概率,上榜后3天-买入次数,上榜后3天-平均涨幅,上榜后3天-上涨概率,上榜后5天-买入次数,上榜后5天-平均涨幅,上榜后5天-上涨概率,上榜后10天-买入次数,上榜后10天-平均涨幅,上榜后10天-上涨概率
1,东方财富证券拉萨金融城南环路证券营业部,1073,-2.161174763886,35.973904939422,1062,-3.31524990226,32.86252354049,1048,-4.00782091729,31.488549618321,1023,-4.741142638133,30.791788856305,941,-7.776081200457,24.654622741764
2,东方财富证券拉萨团结路第一证券营业部,1072,-2.41576167819,34.514925373134,1062,-3.688104692072,29.284369114878,1046,-4.226457600258,29.732313575526,1014,-5.484446460966,27.810650887574,931,-7.433967948776,25.77873254565
3,东方财富证券拉萨团结路第二证券营业部,762,-2.069512892283,34.645669291339,752,-3.003082474641,29.654255319149,744,-3.347740932056,31.048387096774,718,-4.385126158886,28.969359331476,657,-6.261850663379,26.331811263318
4,东方财富证券拉萨东环路第二证券营业部,702,-2.293898649231,33.190883190883,692,-3.344081636908,29.046242774567,683,-3.638291073294,28.843338213763,651,-4.946712982596,27.188940092166,582,-6.185478479261,26.80412371134
5,深股通专用,651,0.722811514578,50.99846390169,632,1.252542348259,49.208860759494,618,1.556881663722,48.058252427185,600,1.674714362233,43.666666666667,536,0.361577297724,41.231343283582
6,国泰君安证券总部,571,-0.356410888336,45.359019264448,566,-0.730519501714,39.752650176678,560,-1.255954564554,39.642857142857,539,-1.842679680668,38.404452690167,493,-3.066224975538,34.685598377282
7,东方财富证券拉萨东环路第一证券营业部,463,-1.79983348473,35.421166306696,458,-3.233786401528,29.912663755459,452,-3.985806188739,30.752212389381,438,-5.430632477055,29.680365296804,396,-8.083608122828,26.010101010101
8,沪股通专用,392,0.627282611505,52.80612244898,378,0.615772224392,48.412698412698,369,0.510007961653,42.276422764228,355,-0.023602555211,40.281690140845,311,-1.001752167396,39.871382636656
9,华鑫证券上海分公司,382,1.93964766699,55.759162303665,381,1.927175702598,47.769028871391,376,1.1571154825,45.478723404255,367,-0.405866779292,40.054495912807,347,-1.989396050115,34.293948126801
10,中国国际金融上海分公司,380,-0.658180277132,42.105263157895,370,-1.431908258622,39.189189189189,363,-1.414184045565,37.190082644628,354,-1.057428236215,40.395480225989,325,-3.993047183108,34.461538461539
