序号,营业部名称,龙虎榜成交金额,上榜次数,买入额,买入次数,卖出额,卖出次数
1,深股通专用,154633739470.07,839,77044817576.03,831,77588921894.04,835
2,沪股通专用,78869786168.42,891,38874404846.29,425,39995381322.13,466
3,东方财富证券股份有限公司拉萨金融城南环路证券营业部,60590831316.4701,1699,33576910067.38,1367,27013921249.09,1200
4,华宝证券股份有限公司上海东大名路证券营业部,56154338913.39,333,28491895150.4,294,27662443762.99,271
5,东方财富证券股份有限公司拉萨团结路第一证券营业部,52638364026.24,1690,28505576905.52,1444,24132787120.72,1290
6,东方财富证券股份有限公司拉萨东环路第二证券营业部,32974832817.94,1126,18389522077.38,982,14585310740.56,907
7,中国国际金融股份有限公司上海分公司,32594988928.28,735,17141306122.22,565,15453682806.06,558
8,华鑫证券有限责任公司上海分公司,32457125700.85,644,17712350587.81,576,14744775113.04,497
9,国泰君安证券股份有限公司总部,29912202507.52,1353,14230383153.21,605,15681819354.31,748
10,东方财富证券股份有限公司拉萨团结路第二证券营业部,29466973661.97,1185,15780823478.76,1049,13686150183.21,960
11,东方财富证券股份有限公司拉萨东环路第一证券营业部,28008282905.06,757,15718344275.22,671,12289938629.84,621
12,东方财富证券股份有限公司昌都两江大道证券营业部,18519903396.31,394,10040964383.23,322,8478939013.08,291
13,中信证券股份有限公司浙江分公司,18072619656.45,426,9746075017.37,336,8326544639.08,314
14,中信证券股份有限公司上海分公司,17934142320.99,731,8654092656.34,344,9280049664.65,394
15,国泰君安证券股份有限公司成都双庆路证券营业部,17269068547.28,65,8648222319.53,50,8620846227.75,49
16,国泰君安证券股份有限公司宜昌沿江大道证券营业部,16251652087.69,294,9893964864.17,257,6357687223.52,256
17,国泰君安证券股份有限公司上海海阳西路证券营业部,15911583897.65,114,9523419726.48,94,6388164171.17,61
18,开源证券股份有限公司西安西大街证券营业部,14277771602.24,640,8163147239.0,488,6114624363.24,413
19,国泰君安证券股份有限公司咸宁咸宁大道证券营业部,14088995648.95,243,8558003725.44,213,5530991923.51,182
20,国泰君安证券股份有限公司上海松江中山东路证券营业部,12889435918.33,201,7752631294.24,180,5136804624.09,163
21,东方证券股份有限公司上海松江区沪亭北路证券营业部,12355485644.11,51,6176336177.31,41,6179149466.8,41
22,国盛证券有限责任公司宁波桑田路证券营业部,10333281547.23,243,5940058185.07,197,4393223362.16,172
23,国泰君安证券股份有限公司上海分公司,10105855308.92,135,5907615715.23,97,4198239593.69,77
24,中信证券股份有限公司西安朱雀大街证券营业部,9986347460.41,131,5581415955.01,119,4404931505.4,104
25,中国银河证券股份有限公司大连黄河路证券营业部,8989845068.91,120,5269852335.77,103,3719992733.14,99
26,华泰证券股份有限公司天津东丽开发区二纬路证券营业部,8623437374.57,79,4744823005.8,65,3878614368.77,59
27,华鑫证券有限责任公司上海陆家嘴证券营业部,8206713433.19,58,4143722603.93,43,4062990829.26,41
28,国信证券股份有限公司浙江互联网分公司,7270501605.12,236,4073267996.98,200,3197233608.14,176
29,国泰君安证券股份有限公司上海江苏路证券营业部,7188485403.94,162,4249888512.45,134,2938596891.49,127
30,联储证券股份有限公司宁波分公司,7078520202.01,91,4061110801.76,62,3017409400.25,56
31,高盛(中国)证券有限责任公司上海浦东新区世纪大道证券营业部,7000649125.85,426,3872212062.69,209,3128437063.16,217
32,中国银河证券股份有限公司北京中关村大街证券营业部,6976691205.83,307,4077852525.55,264,2898838680.28,224
33,东莞证券股份有限公司南京分公司,6929243105.0,276,3741370268.51,224,3187872836.49,211
34,华鑫证券有限责任公司上海宛平南路证券营业部,6077995336.71,179,3633099934.51,122,2444895402.2,100
35,东亚前海证券有限责任公司苏州分公司,5634646340.01,165,3065937134.32,127,2568709205.69,105
36,华泰证券股份有限公司上海武定路证券营业部,5400018954.72,167,3315507317.82,136,2084511636.9,127
37,中国银河证券股份有限公司绍兴证券营业部,5327690764.71,181,2858420884.69,144,2469269880.02,138
38,浙商证券股份有限公司杭州五星路证券营业部,4857227904.17,107,2654869645.83,83,2202358258.34,61
39,东方证券股份有限公司上海浦东新区银城中路证券营业部,4690890105.76,89,2685477016.81,74,2005413088.95,68
