序号,代码,名称,上榜日,解读,收盘价,涨跌幅,龙虎榜净买额,龙虎榜买入额,龙虎榜卖出额,龙虎榜成交额,市场总成交额,净买额占总成交比,成交额占总成交比,换手率,流通市值,上榜原因,上榜后1日,上榜后2日,上榜后5日,上榜后10日
1,000004,国华网安,2025-01-20,普通席位卖出，成功率42.05%,11.97,-10.0,-3474891.0,4173939.0,7648830.0,11822769.0,53374230.0,-6.510428347163,22.150706436421,3.5308,1511668473.21,日跌幅偏离值达到7%的前5只证券,-4.34419382,-9.77443609,-13.03258145,14.45279866
2,000016,深康佳A,2025-01-16,西藏自治区资金买入，成功率24.06%,6.81,10.0162,28799074.1,202501186.34,173702112.24,376203298.58,2465157769.0,1.168244664182,15.260820354415,24.4547,11830198675.44,日振幅值达到15%的前5只证券,-7.19530103,-12.48164464,-27.01908957,-28.78120411
3,000016,深康佳A,2025-01-16,西藏自治区资金买入，成功率24.06%,6.81,10.0162,28799074.1,202501186.34,173702112.24,376203298.58,2465157769.0,1.168244664182,15.260820354415,24.4547,11830198675.44,日涨幅偏离值达到7%的前5只证券,-7.19530103,-12.48164464,-27.01908957,-28.78120411
4,000016,深康佳A,2025-01-15,西藏自治区资金买入，成功率31.64%,6.19,1.9769,-143729101.25,178157253.33,321886354.58,500043607.91,2707128176.0,-5.309283192581,18.471368010689,27.0645,10783515906.88,日振幅值达到15%的前5只证券,10.01615509,2.10016155,-17.28594507,-21.00161551
5,000032,深桑达A,2025-02-24,买一主买，成功率21.85%,31.32,10.0105,232474874.33,732130602.24,499655727.91,1231786330.15,4122582065.0,5.639059954771,29.879000847737,21.3201,20194002560.52,日涨幅偏离值达到7%的前5只证券,-2.39463602,3.76756066,,
6,000032,深桑达A,2025-02-24,买一主买，成功率21.85%,31.32,10.0105,232474874.33,732130602.24,499655727.91,1231786330.15,4122582065.0,5.639059954771,29.879000847737,21.3201,20194002560.52,日振幅值达到15%的前5只证券,-2.39463602,3.76756066,,
7,000032,深桑达A,2025-02-21,主力做T，成功率42.78%,28.47,10.0077,128354346.52,370578864.41,242224517.89,612803382.3,2679757105.0,4.7897753972,22.867870418427,15.1956,18356425699.17,日涨幅偏离值达到7%的前5只证券,10.01053741,7.37618546,,
8,000032,深桑达A,2025-02-17,1家机构买入，成功率30.50%,25.34,5.7155,106395175.71,867522212.67,761127036.96,1628649249.63,7407082891.0,1.436397800263,21.987728146109,25.8257,16338314970.74,连续三个交易日内，涨幅偏离值累计达到20%的证券,0.94711918,1.42067877,23.59905288,
9,000034,神州数码,2025-02-14,普通席位买入，成功率31.62%,52.94,9.9938,379727801.53,753712344.09,373984542.56,1127696886.65,4065225403.0,9.340879382722,27.740082648746,14.6538,29259616601.26,日涨幅偏离值达到7%的前5只证券,2.41783151,7.10238005,7.78239516,
10,000034,神州数码,2025-02-10,1家机构买入，成功率37.48%,43.87,10.005,281600717.3,1011660090.88,730059373.58,1741719464.46,9321040636.0,3.021129595899,18.6858906905,13.3536,24246682665.23,连续三个交易日内，涨幅偏离值累计达到20%的证券,-0.38750855,2.39343515,23.59243219,31.86687942
11,000034,神州数码,2025-02-10,1家机构买入，成功率33.20%,43.87,10.005,110288187.29,503957363.31,393669176.02,897626539.33,3218705918.0,3.426476046576,27.887808398717,13.3536,24246682665.23,日涨幅偏离值达到7%的前5只证券,-0.38750855,2.39343515,23.59243219,31.86687942
12,000034,神州数码,2025-02-07,1家机构买入，成功率34.64%,39.88,10.0138,262467665.17,557598212.8,295130547.63,852728760.43,4356471671.0,6.024776125992,19.573839217328,20.3017,22041433888.52,日涨幅偏离值达到7%的前5只证券,10.00501505,9.57873621,32.74824473,43.07923771
13,000056,皇庭国际,2025-02-11,3家机构买入，成功率16.42%,3.39,10.0649,-15349108.22,138594936.0,153944044.22,292538980.22,1019562034.0,-1.505460943831,28.692612167236,21.3953,3379652097.22,连续三个交易日内，涨幅偏离值累计达到20%的证券,-1.179941,-5.89970501,-1.47492625,-6.48967552
14,000063,中兴通讯,2025-01-09,主力做T，成功率25.97%,38.37,10.0057,-903406568.69,1500667874.95,2404074443.64,3904742318.59,14480336477.0,-6.238850665694,26.965825861796,9.7211,154530329252.7,日涨幅偏离值达到7%的前5只证券,-1.72009382,1.64190774,4.14386239,7.11493354
15,000065,北方国际,2025-02-19,主力做T，成功率28.93%,11.98,10.0092,93737931.32,253437839.21,159699907.89,413137747.1,1704237202.0,5.500286650825,24.241798419561,8.3914,11124116573.8,连续三个交易日内，涨幅偏离值累计达到20%的证券,-5.25876461,-6.09348915,-1.0851419,
16,000096,广聚能源,2025-02-25,1家机构买入，成功率48.57%,18.43,10.0299,126499270.93,186252698.07,59753427.14,246006125.21,443900458.0,28.49721568208,55.419209594508,0.7921,9414928640.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,9.98372219,,,
17,000096,广聚能源,2025-02-21,2家机构卖出，成功率33.33%,15.23,-6.3921,-32892681.51,69831757.4,102724438.91,172556196.31,374933498.0,-8.772937517042,46.023147366256,4.8114,7780215040.0,日跌幅偏离值达到7%的前5只证券,9.98030204,21.01116218,,
18,000096,广聚能源,2025-02-20,广东资金买入，成功率20.24%,16.27,10.0068,-144492593.74,108719075.75,253211669.49,361930745.24,619301877.0,-23.331528468789,58.441732324993,8.2442,8311496960.0,日振幅值达到15%的前5只证券,-6.39213276,2.95021512,,
19,000096,广聚能源,2025-02-18,1家机构买入，成功率35.56%,15.33,9.9713,24860415.6,63052634.6,38192219.0,101244853.6,157522742.0,15.782112020371,64.273166093059,0.689,7831299840.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,-3.52250489,6.13176778,20.22178735,
20,000099,中信海直,2025-02-14,主力做T，成功率28.16%,28.48,4.3223,25352824.25,205217501.02,179864676.77,385082177.79,2684837166.0,0.94429653206,14.342850384618,12.6739,22093933501.76,日振幅值达到15%的前5只证券,-1.61516854,-7.9002809,-4.28370787,
21,000156,华数传媒,2025-02-13,浙江资金买入，成功率54.72%,9.43,1.1803,-35230482.41,145799645.9,181030128.31,326829774.21,1950835167.0,-1.805917947654,16.753325946682,11.9925,16029829520.11,日振幅值达到15%的前5只证券,-4.98409332,-3.60551432,-10.71049841,
22,000156,华数传媒,2025-02-12,1家机构买入，成功率26.67%,9.32,10.0354,-79888724.6,134202368.38,214091092.98,348293461.36,1385709130.0,-5.765187142846,25.134673202305,4.6476,15842843173.64,连续三个交易日内，涨幅偏离值累计达到20%的证券,1.18025751,-3.86266094,-9.65665236,-10.08583691
23,000158,常山北明,2025-02-24,主力做T，成功率29.39%,27.47,10.012,15738732.33,801281207.83,785542475.5,1586823683.33,6893259494.0,0.228320612965,23.019932511045,16.7671,43617382710.7,日涨幅偏离值达到7%的前5只证券,2.54823444,-0.21842009,,
