序号,代码,名称,最近上榜日,收盘价,涨跌幅,上榜次数,龙虎榜净买额,龙虎榜买入额,龙虎榜卖出额,龙虎榜总成交额,买方机构次数,卖方机构次数,机构买入净额,机构买入总额,机构卖出总额,近1个月涨跌幅,近3个月涨跌幅,近6个月涨跌幅,近1年涨跌幅
1,300766,每日互动,2025-02-24,51.4,-15.0132,17,-510259315.69,13059610365.67,13569869681.36,26629480047.03,3,3,-29448885.53,187960767.82,217409653.35,166.32124352,246.82860999,471.74638487,345.40727903
2,002261,拓维信息,2025-02-25,37.37,-9.9952,16,553122510.77,14869522320.27,14316399809.5,29185922129.77,8,9,-87904242.3,922886688.26,1010790930.56,112.81321185,70.71722248,246.01851852,159.69423211
3,688316,青云科技,2025-02-24,83.15,-15.1531,16,749953327.16,3025166673.32,2275213346.16,5300380019.48,1,2,-14572085.62,20919897.41,35491983.03,154.90496628,118.29876608,228.65612648,121.79247799
4,600225,退市卓朗,2025-02-26,0.28,12.0,15,-16135603.86,78562892.41,94698496.27,173261388.68,0,0,0.0,0.0,0.0,-77.41935484,-78.94736842,-80.41958042,-92.26519337
5,000818,航锦科技,2025-02-25,32.8,-9.989,14,34129715.2500012,18749471477.7,18715341762.45,37464813240.15,1,4,1347939.33000001,149553258.65,148205319.32,114.94102228,56.93779904,109.85284709,13.44865758
6,688158,优刻得,2025-02-14,38.37,14.3666,14,7874908556.01,26977356314.06,19102447758.05,46079804072.11,2,1,250119171.12,306111611.82,55992440.7,205.49363057,143.31008243,309.93589744,248.81818182
7,300846,首都在线,2025-02-26,31.26,13.7141,13,488334138.239999,22683647669.75,22195313531.51,44878961201.26,10,10,-36957987.38,318404604.2,355362591.58,139.90790484,132.41635688,244.65270121,154.14634146
8,002123,梦网科技,2025-02-24,17.24,-9.6436,13,58523958.7000001,16986135396.45,16927611437.75,33913746834.2,2,2,-33947487.61,36364855.49,70312343.1,58.31037649,59.9257885,200.87260035,80.52356021
9,002031,巨轮智能,2025-02-26,10.5,0.3824,12,424793379.72,6885096239.28,6460302859.56,13345399098.84,11,11,-92078379.36,377158108.4,469236487.76,53.95894428,137.02031603,360.52631579,180.0
10,000856,冀东装备,2025-02-21,15.75,-6.5836,12,-19634806.23,1005859713.97,1025494520.2,2031354234.17,2,2,-1573115.11,64377208.89,65950324.0,99.36708861,99.11504425,175.34965035,147.64150943
11,839493,并行科技,2025-02-19,275.14,17.9593,11,-78462430.63,1348280645.24,1426743075.87,2775023721.11,1,2,-13005337.11,13207255.74,26212592.85,327.56798757,287.08497468,616.69705653,627.1141649
12,300251,光线传媒,2025-02-17,29.66,-14.5983,11,-901432663.36,24231421279.09,25132853942.45,49364275221.54,6,14,-1191750805.72,511202533.38,1702953339.1,231.76733781,228.4606866,314.82517483,293.38167293
