代码,名称,最新价,总市值
839680,*ST广道,,637839048.0
871970,大禹生物,10.16,1131421664.0
836149,旭杰科技,15.27,1145488212.0
833873,中设咨询,7.88,1208689576.0
836414,欧普泰,15.31,1220944498.0
830832,齐鲁华信,8.95,1241936592.0
873527,夜光明,20.85,1251890295.0
836504,博迅生物,30.29,1312559599.0
836419,万德股份,14.87,1327268006.0
833266,生物谷,10.88,1349120076.0
832471,美邦科技,16.29,1355328000.0
836422,润普食品,15.9,1406875089.0
835857,百甲科技,7.98,1446481110.0
430300,辰光医疗,16.88,1449099487.0
836260,中寰股份,14.03,1452806500.0
920118,太湖远大,28.72,1461733120.0
873679,前进科技,26.22,1464387000.0
872895,花溪科技,25.91,1464536840.0
839946,华阳变速,10.89,1470045924.0
831167,鑫汇科,29.68,1483493689.0
830974,凯大催化,9.13,1495494000.0
832175,东方碳素,12.69,1510110000.0
832023,田野股份,4.64,1518690560.0
831768,拾比佰,13.75,1525837500.0
838030,德众汽车,8.64,1545174844.0
430685,新芝生物,16.91,1547534562.0
836717,瑞星股份,13.55,1553914000.0
833580,科创新材,18.25,1569500000.0
837046,亿能电力,15.56,1573894000.0
839719,宁新新材,17.04,1586311536.0
838810,春光智能,16.58,1590022000.0
831641,格利尔,21.21,1592340750.0
836871,派特尔,19.17,1629173511.0
832802,保丽洁,19.87,1629504722.0
870508,丰安股份,26.63,1657451200.0
831855,浙江大农,22.3,1666553326.0
833427,华维设计,16.18,1668077100.0
871553,凯腾精工,11.63,1671120050.0
838275,驱动力,10.5,1673464800.0
833230,欧康医药,16.68,1675464217.0
833781,瑞奇智造,10.85,1677052536.0
871642,通易航天,16.19,1678421801.0
832110,雷特科技,43.1,1680900000.0
831370,新安洁,5.61,1684589554.0
871245,威博液压,33.93,1686151350.0
835305,*ST云创,12.74,1686471833.0
873167,新赣江,23.82,1687914975.0
870299,灿能电力,19.11,1721988264.0
920016,中草香料,22.5,1732093403.0
835508,殷图网联,29.1,1746000000.0
430090,同辉信息,8.8,1754135205.0
837212,智新电子,16.54,1754894000.0
870726,鸿智科技,19.9,1758398566.0
430198,微创光电,10.94,1765320760.0
920445,龙竹科技,12.02,1766098901.0
834014,特瑞斯,14.23,1770897715.0
835670,数字人,16.68,1771122432.0
872931,无锡鼎邦,18.9,1775277000.0
870866,绿亨科技,9.9,1784038410.0
834950,迅安科技,24.44,1791940800.0
836433,大唐药业,7.08,1811911341.0
430425,乐创技术,25.7,1823069284.0
834639,晨光电缆,9.06,1826496000.0
873833,美心翼申,22.26,1833333600.0
832145,恒合股份,26.01,1835005500.0
430478,峆一药业,23.54,1852802798.0
832566,梓橦宫,12.78,1859021996.0
831175,派诺科技,17.22,1862512858.0
871857,泓禧科技,25.38,1878301518.0
832278,鹿得医疗,10.81,1886345000.0
873132,泰鹏智能,22.78,1886730720.0
430556,雅达股份,11.72,1890614144.0
870656,海昇药业,18.98,1898000000.0
873665,科强股份,14.7,1910853000.0
831396,许昌智能,11.57,1915702750.0
836826,盖世食品,13.67,1920851177.0
836957,汉维科技,17.98,1929277985.0
920066,科拜尔,30.81,1936510974.0
871263,莱赛激光,20.39,1946225500.0
838262,太湖雪,28.16,1946255450.0
833455,汇隆活塞,11.0,1951950000.0
430718,合肥高科,21.66,1963840722.0
831195,三祥科技,20.1,1970403000.0
832419,路斯股份,19.19,1982449816.0
831278,泰德股份,12.8,1990732800.0
834407,驰诚股份,23.32,1991154880.0
870436,大地电气,21.1,1993443600.0
871634,新威凌,31.3,2000447040.0
831856,浩淼科技,21.1,2007171851.0
870976,视声智能,28.53,2024300502.0
870204,沪江材料,21.57,2033787781.0
831906,舜宇精工,31.71,2060198700.0
832876,慧为智能,32.11,2060840960.0
